Wall time,Step,Value
1765819305.728396,884736,240.0
1765819360.6478326,2949120,237.69671630859375
1765819390.3804455,4128768,238.25759887695312
1765819394.1701427,4276224,238.309326171875
1765819447.5501122,6193152,240.0
1765819475.8021772,7225344,240.0
1765819479.9898365,7372800,239.7886505126953
1765819540.8898647,9437184,214.97581481933594
1765819545.604826,9584640,214.47767639160156
1765819563.3825507,10174464,223.03692626953125
1765819581.9425733,10764288,237.7597198486328
1765819610.138689,11649024,240.00001525878906
1765819633.7395375,12386304,219.8646240234375
1765819666.6076672,13418496,227.525634765625
1765819713.673709,14893056,231.013427734375
1765819732.9460075,15482880,234.3876953125
1765819751.4895296,16072704,222.51551818847656
1765819816.2157297,18137088,232.41940307617188
1765819834.695127,18726912,231.4606170654297
1765819839.1438768,18874368,227.3345489501953
1765819848.1262584,19169280,233.224853515625
1765819857.331856,19464192,238.84811401367188
1765819920.2493224,21528576,239.9999542236328
1765819933.248196,21970944,235.8745574951172
1765819977.448222,23445504,240.0
1765819990.6059687,23887872,236.912109375
1765819999.4310212,24182784,238.63772583007812
1765820008.276639,24477696,239.34237670898438
1765820044.2536287,25657344,236.84620666503906
1765820066.1480644,26394624,240.0
1765820126.206137,28459008,238.14271545410156
1765820176.6382666,30228480,239.64791870117188
1765820185.1638188,30523392,233.69692993164062
1765820218.4454076,31703040,234.66380310058594
1765820288.6904562,34062336,238.95181274414062
1765820351.7653327,36274176,237.36163330078125
1765820355.7708924,36421632,237.58485412597656
1765820410.237731,38338560,237.95147705078125
1765820414.4571989,38486016,237.88687133789062
1765820464.5554144,40255488,238.65907287597656
1765820476.7824168,40697856,238.4737091064453
1765820510.6351023,41877504,239.05079650878906
1765820523.4952455,42319872,236.2432403564453
1765820544.58783,43057152,239.83253479003906
1765820565.9294965,43794432,239.73757934570312
1765820621.9775543,45711360,238.38812255859375
1765820656.2244813,46891008,239.7549285888672
1765820664.9968572,47185920,237.22427368164062
1765820669.0766306,47333376,237.38241577148438
1765820681.7443476,47775744,239.36097717285156
1765820780.0699716,51167232,235.2900390625
1765820784.4014502,51314688,236.4378204345703
1765820836.1796317,53084160,237.18653869628906
1765820861.9864564,53968896,238.67645263671875
1765820865.9795074,54116352,236.9178924560547
1765820869.9234717,54263808,236.71617126464844
1765820920.9186687,56033280,236.899169921875
1765820955.2647605,57212928,238.6678924560547
1765820972.407915,57802752,239.90130615234375
1765820981.4426816,58097664,238.16253662109375
1765821025.684811,59572224,238.83262634277344
1765821034.2523637,59867136,237.12171936035156
1765821080.8471696,61489152,239.52532958984375
1765821110.6741445,62521344,238.91409301757812
1765821170.0992177,64585728,239.4041290283203
1765821174.441094,64733184,240.0
1765821182.9579022,65028096,237.23507690429688
1765821212.8730874,66060288,238.21038818359375
1765821276.7860093,68272128,239.5002899169922
1765821293.6871707,68861952,238.947265625
1765821315.1074698,69599232,239.87158203125
1765821332.0676396,70189056,238.18368530273438
1765821336.610254,70336512,238.4368438720703
1765821358.305647,71073792,237.30545043945312
1765821362.4742987,71221248,239.178466796875
1765821388.4877336,72105984,238.16490173339844
1765821486.6758106,75497472,239.5798797607422
1765821495.0960882,75792384,235.6107940673828
