Wall time,Step,Value
1763649060.083198,589824,82.25021362304688
1763649147.1144712,2654208,206.01084899902344
1763649198.5496948,3833856,192.1999053955078
1763649204.9930894,3981312,201.7330780029297
1763649290.8142872,5898240,199.9495086669922
1763649337.1021156,6930432,207.94064331054688
1763649343.7190845,7077888,208.81056213378906
1763649438.5641782,9142272,198.0377960205078
1763649445.2728946,9289728,209.6238250732422
1763649472.2280326,9879552,204.87799072265625
1763649499.271454,10469376,218.97506713867188
1763649540.0564013,11354112,221.74627685546875
1763649575.0001657,12091392,212.67225646972656
1763649623.9211752,13123584,212.57757568359375
1763649694.2682698,14598144,239.30714416503906
1763649722.4893641,15187968,219.0538787841797
1763649750.0990996,15777792,215.99302673339844
1763649845.955083,17842176,206.25608825683594
1763649872.7673762,18432000,216.03228759765625
1763649879.5082529,18579456,221.99452209472656
1763649892.806044,18874368,220.18722534179688
1763649906.0746179,19169280,218.2914581298828
1763650017.8676112,21233664,224.45574951171875
1763650036.6181204,21676032,222.33792114257812
1763650099.1286786,23150592,222.01695251464844
1763650117.9768422,23592960,218.0950927734375
1763650130.4120085,23887872,220.56434631347656
1763650142.936593,24182784,219.7909698486328
1763650192.4919899,25362432,221.20362854003906
1763650222.6094668,26099712,225.04457092285156
1763650313.5398018,28164096,217.54095458984375
1763650392.944149,29933568,222.45364379882812
1763650409.985458,30228480,224.96495056152344
1763650475.0032086,31408128,220.72198486328125
1763650567.534039,33767424,220.62918090820312
1763650654.2411864,35979264,221.86471557617188
1763650659.9569094,36126720,225.18109130859375
1763650735.065038,38043648,225.2609100341797
1763650740.8957078,38191104,220.85255432128906
1763650810.6413753,39960576,225.2150115966797
1763650828.0921865,40402944,219.2611846923828
1763650873.825235,41582592,224.17401123046875
1763650891.156358,42024960,226.9193572998047
1763650919.9763126,42762240,223.98838806152344
1763650948.7673306,43499520,224.41329956054688
1763651022.9112191,45416448,232.42718505859375
1763651068.4378119,46596096,234.19435119628906
1763651079.774,46891008,229.61923217773438
1763651085.440296,47038464,229.0322265625
1763651102.8164797,47480832,227.112060546875
1763651234.0612905,50872320,222.9463653564453
1763651239.7060475,51019776,233.02378845214844
1763651308.3509614,52789248,221.7566375732422
1763651342.285935,53673984,232.918212890625
1763651347.9180686,53821440,231.55001831054688
1763651353.5791745,53968896,230.4168701171875
1763651422.0018115,55738368,223.09217834472656
1763651480.8925157,56918016,220.09970092773438
1763651511.3812978,57507840,228.12855529785156
1763651527.0197947,57802752,227.335693359375
1763651592.2306695,59277312,229.4901885986328
1763651608.0875533,59572224,226.05978393554688
1763651686.2964904,61194240,229.47303771972656
1763651726.0004838,62226432,228.84719848632812
1763651805.4569957,64290816,225.61915588378906
1763651811.183459,64438272,230.3089599609375
1763651822.7090864,64733184,230.56214904785156
1763651862.7252302,65765376,230.4509735107422
1763651948.4365907,67977216,232.34535217285156
1763651971.2020838,68567040,228.00469970703125
1763651999.4804535,69304320,226.37696838378906
1763652021.9129713,69894144,227.36761474609375
1763652027.5475745,70041600,230.963623046875
1763652055.3669927,70778880,225.85208129882812
1763652061.0104887,70926336,229.19454956054688
1763652094.8716679,71811072,228.13619995117188
1763652223.827976,75202560,231.02589416503906
1763652234.9875433,75497472,217.6224822998047
1763652240.5784616,75644928,227.0238800048828
1763652246.2286901,75792384,223.7156219482422
1763652263.364254,76234752,227.55995178222656
1763652274.5553987,76529664,227.23291015625
1763652353.0080998,78594048,225.5526580810547
1763652358.6726735,78741504,225.8560333251953
1763652369.9222887,79036416,228.88499450683594
1763652381.207699,79331328,229.41664123535156
1763652392.4244328,79626240,228.56866455078125
1763652414.5662649,80216064,228.27163696289062
1763652425.6861591,80510976,228.46554565429688
1763652459.1542072,81395712,230.00181579589844
1763652481.8511915,81985536,230.8362274169922
1763652515.8431087,82870272,233.0682373046875
1763652527.2148697,83165184,228.84877014160156
1763652549.6148243,83755008,230.45486450195312
1763652639.4891138,86114304,225.8015899658203
1763652673.11371,86999040,225.2353057861328
1763652695.384567,87588864,220.60693359375
1763652706.6725783,87883776,222.48690795898438
1763652807.4086497,90537984,225.6560516357422
1763652857.6939337,91865088,227.1743927001953
1763652885.6593409,92602368,227.64601135253906
1763652891.2273273,92749824,231.59567260742188
