playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
9.029 0.25 0.28 0.65 0.554666 4.7499e-05 0.623729    0.0002758 -6.27286e-05  0.000487044     -1.57178  5.72272e-05      1.57047     0.786137
9.03 0.25 0.28 0.65 0.554665 5.16256e-05 0.623726  0.000290027 -9.57318e-05  0.000512168     -1.57181  6.22226e-05      1.57046     0.786175
9.031 0.25 0.28 0.65 0.554664 5.59553e-05 0.623723  0.000304606 -0.000129553  0.000537915     -1.57183  6.73419e-05      1.57045     0.786214
9.032 0.25 0.28 0.65 0.554663 6.04922e-05 0.62372  0.000319538 -0.000164192  0.000564285     -1.57186  7.25849e-05      1.57044     0.786254
9.033 0.25 0.28 0.65 0.554662 6.52401e-05 0.623717  0.000334822 -0.000199647  0.000591276     -1.57188  7.79515e-05      1.57043     0.786295
9.034 0.25 0.28 0.65 0.55466 7.0203e-05 0.623714  0.000350458 -0.000235918  0.000618888     -1.57191  8.34415e-05      1.57042     0.786336
9.035 0.25 0.28 0.65 0.554658 7.53848e-05 0.623711  0.000366444 -0.000273004  0.000647121     -1.57194  8.90549e-05      1.57041     0.786379
9.036 0.25 0.28 0.65 0.554657 8.07892e-05 0.623708  0.000382782 -0.000310904  0.000675973     -1.57196  9.47915e-05      1.57039     0.786423
9.037 0.25 0.28 0.65 0.554655 8.64199e-05 0.623706   0.00039947 -0.000349617  0.000705444     -1.57199  0.000100651      1.57038     0.786468
9.038 0.25 0.28 0.65 0.554653 9.22808e-05 0.623704  0.000416508 -0.000389143  0.000735534     -1.57202  0.000106634      1.57037     0.786513
9.039 0.25 0.28 0.65 0.554651 9.83754e-05 0.623701 0.000433897 -0.00042948 0.000766241    -1.57205 0.000112739     1.57036     0.78656
9.04 0.25 0.28 0.65 0.554649 0.000104707 0.623699  0.000451634 -0.000470627  0.000797565     -1.57208  0.000118967      1.57034     0.786607
9.041 0.25 0.28 0.65 0.554646 0.00011128 0.623697  0.000469721 -0.000512584  0.000829506     -1.57211  0.000125318      1.57033     0.786656
9.042 0.25 0.28 0.65 0.554644 0.000118097 0.623695 0.000488156 -0.00055535 0.000862063    -1.57214 0.000131791     1.57032    0.786705
9.043 0.25 0.28 0.65 0.554641 0.000125163 0.623693   0.00050694 -0.000598924  0.000895234     -1.57217  0.000138387       1.5703     0.786755
9.044 0.25 0.28 0.65 0.554638 0.000132479 0.623691  0.000526071 -0.000643305  0.000929021      -1.5722  0.000145104      1.57029     0.786807
9.045 0.25 0.28 0.65 0.554635 0.00014005 0.62369   0.00054555 -0.000688493  0.000963421     -1.57224  0.000151944      1.57027     0.786859
9.046 0.25 0.28 0.65 0.554632 0.000147879 0.623688  0.000565377 -0.000734486  0.000998434     -1.57227  0.000158905      1.57026     0.786912
9.047 0.25 0.28 0.65 0.554629 0.000155969 0.623686   0.00058555 -0.000781284   0.00103406      -1.5723  0.000165989      1.57024     0.786966
9.048 0.25 0.28 0.65 0.554626 0.000164324 0.623685   0.00060607 -0.000828885    0.0010703     -1.57234  0.000173194      1.57023     0.787021
