playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
6.508 0.25 0.28 0.65 0.554701 -4.4373e-06 0.623683  7.36648e-06  0.000778808  7.36924e-06     -1.57159 -5.40867e-05      1.57067     0.785412
6.509 0.25 0.28 0.65 0.554702 -4.40433e-06 0.623676  7.59784e-06  0.000784294  7.60173e-06     -1.57159 -5.44818e-05      1.57067     0.785412
6.51 0.25 0.28 0.65 0.554704 -4.36931e-06 0.62367  7.83092e-06  0.000789774  7.83599e-06      -1.5716 -5.48769e-05      1.57067     0.785413
6.511 0.25 0.28 0.65 0.554705 -4.33223e-06 0.623663 8.06571e-06 0.000795248   8.072e-06    -1.57161 -5.5272e-05     1.57067    0.785413
6.512 0.25 0.28 0.65 0.554707 -4.2931e-06 0.623656  8.30221e-06  0.000800714  8.30978e-06     -1.57162 -5.56671e-05      1.57066     0.785414
6.513 0.25 0.28 0.65 0.554708 -4.25193e-06 0.62365  8.54042e-06  0.000806174  8.54931e-06     -1.57162 -5.60621e-05      1.57066     0.785414
6.514 0.25 0.28 0.65 0.55471 -4.2087e-06 0.623643  8.78034e-06  0.000811627  8.79061e-06     -1.57163 -5.64572e-05      1.57066     0.785415
6.515 0.25 0.28 0.65 0.554711 -4.16342e-06 0.623637  9.02197e-06  0.000817073  9.03366e-06     -1.57164 -5.68522e-05      1.57066     0.785415
6.516 0.25 0.28 0.65 0.554713 -4.1161e-06 0.62363   9.2653e-06  0.000822513  9.27847e-06     -1.57165 -5.72472e-05      1.57066     0.785416
6.517 0.25 0.28 0.65 0.554714 -4.06673e-06 0.623624  9.51034e-06  0.000827946  9.52503e-06     -1.57165 -5.76422e-05      1.57066     0.785416
6.518 0.25 0.28 0.65 0.554716 -4.01532e-06 0.623617  9.75708e-06  0.000833372  9.77335e-06     -1.57166 -5.80372e-05      1.57066     0.785417
6.519 0.25 0.28 0.65 0.554717 -3.96187e-06 0.623611  1.00055e-05  0.000838792  1.00234e-05     -1.57167 -5.84322e-05      1.57066     0.785417
6.52 0.25 0.28 0.65 0.554719 -3.90638e-06 0.623604  1.02557e-05  0.000844204  1.02752e-05     -1.57168 -5.88272e-05      1.57066     0.785418
6.521 0.25 0.28 0.65 0.55472 -3.84885e-06 0.623597  1.05075e-05  0.000849611  1.05288e-05     -1.57168 -5.92221e-05      1.57066     0.785418
6.522 0.25 0.28 0.65 0.554722 -3.78928e-06 0.623591  1.07611e-05   0.00085501  1.07841e-05     -1.57169 -5.96171e-05      1.57066     0.785419
6.523 0.25 0.28 0.65 0.554723 -3.72767e-06 0.623584 1.10163e-05 0.000860403 1.10412e-05     -1.5717 -6.0012e-05     1.57066    0.785419
6.524 0.25 0.28 0.65 0.554725 -3.66403e-06 0.623578  1.12733e-05  0.000865789     1.13e-05      -1.5717 -6.04069e-05      1.57066      0.78542
6.525 0.25 0.28 0.65 0.554726 -3.59835e-06 0.623571  1.15319e-05  0.000871169  1.15605e-05     -1.57171 -6.08018e-05      1.57066      0.78542
6.526 0.25 0.28 0.65 0.554728 -3.53064e-06 0.623565  1.17922e-05  0.000876541  1.18228e-05     -1.57172 -6.11967e-05      1.57066     0.785421
6.527 0.25 0.28 0.65 0.554729 -3.46091e-06 0.623558  1.20542e-05  0.000881908  1.20869e-05     -1.57173 -6.15916e-05      1.57065     0.785421
6.528 0.25 0.28 0.65 0.554731 -3.38914e-06 0.623552   1.2318e-05  0.000887267  1.23526e-05     -1.57173 -6.19864e-05      1.57065     0.785422
6.529 0.25 0.28 0.65 0.554732 -3.31534e-06 0.623545  1.25834e-05   0.00089262  1.26201e-05     -1.57174 -6.23813e-05      1.57065     0.785422
6.53 0.25 0.28 0.65 0.554734 -3.23952e-06 0.623538  1.28504e-05  0.000897966  1.28894e-05     -1.57175 -6.27761e-05      1.57065     0.785423
6.531 0.25 0.28 0.65 0.554735 -3.16167e-06 0.623532  1.31192e-05  0.000903306  1.31604e-05     -1.57176 -6.31709e-05      1.57065     0.785423
6.532 0.25 0.28 0.65 0.554737 -3.0818e-06 0.623525  1.33897e-05  0.000908639  1.34331e-05     -1.57176 -6.35657e-05      1.57065     0.785424
6.533 0.25 0.28 0.65 0.554738 -2.9999e-06 0.623519  1.36618e-05  0.000913965  1.37076e-05     -1.57177 -6.39605e-05      1.57065     0.785424
6.534 0.25 0.28 0.65 0.55474 -2.91598e-06 0.623512  1.39357e-05  0.000919285  1.39838e-05     -1.57178 -6.43553e-05      1.57065     0.785425
6.535 0.25 0.28 0.65 0.554741 -2.83005e-06 0.623506 1.42112e-05 0.000924598 1.42617e-05    -1.57179  -6.475e-05     1.57065    0.785425
6.536 0.25 0.28 0.65 0.554743 -2.74209e-06 0.623499  1.44884e-05  0.000929905  1.45413e-05     -1.57179 -6.51448e-05      1.57065     0.785426
6.537 0.25 0.28 0.65 0.554744 -2.65212e-06 0.623493  1.47673e-05  0.000935205  1.48227e-05      -1.5718 -6.55395e-05      1.57065     0.785426
