playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
7.944 0.25 0.28 0.65 0.554646 -4.24506e-06 0.623918  4.29612e-11   0.00057662 -1.48536e-08     -1.57134 -3.95941e-05      1.57072     0.785398
7.945 0.25 0.28 0.65 0.554647 -4.27124e-06 0.623914  3.88456e-07    0.0005784  3.76666e-07     -1.57132 -3.99029e-05       1.5707     0.785399
7.946 0.25 0.28 0.65 0.554648 -4.30009e-06 0.623909  1.12156e-06  0.000579888  1.11123e-06     -1.57131 -4.02652e-05      1.57067       0.7854
7.947 0.25 0.28 0.65 0.554649 -4.32651e-06 0.623903 2.19128e-06 0.000580489 2.18047e-06    -1.57129 -4.0646e-05     1.57064    0.785403
7.948 0.25 0.28 0.65 0.554651 -4.34541e-06 0.623897  3.59161e-06  0.000579979  3.57875e-06     -1.57127 -4.10347e-05      1.57061     0.785405
7.949 0.25 0.28 0.65 0.554652 -4.35177e-06 0.623891  5.31714e-06  0.000578264  5.30106e-06     -1.57125 -4.14269e-05      1.57058     0.785409
7.95 0.25 0.28 0.65 0.554654 -4.34092e-06 0.623885  7.36307e-06  0.000575311  7.34292e-06     -1.57124 -4.18204e-05      1.57054     0.785413
7.951 0.25 0.28 0.65 0.554655 -4.30855e-06 0.623879  9.72508e-06  0.000571111  9.70024e-06     -1.57122 -4.22141e-05      1.57051     0.785418
7.952 0.25 0.28 0.65 0.554657 -4.25064e-06 0.623873  1.23992e-05  0.000565671  1.23692e-05     -1.57121 -4.26077e-05      1.57048     0.785423
7.953 0.25 0.28 0.65 0.554658 -4.16336e-06 0.623868  1.53816e-05  0.000558999  1.53462e-05      -1.5712 -4.30008e-05      1.57045     0.785429
7.954 0.25 0.28 0.65 0.554659 -4.04304e-06 0.623862  1.86687e-05  0.000551108  1.86278e-05     -1.57119 -4.33934e-05      1.57042     0.785435
7.955 0.25 0.28 0.65 0.55466 -3.88615e-06 0.623857   2.2257e-05  0.000542011  2.22106e-05     -1.57118 -4.37854e-05      1.57039     0.785443
7.956 0.25 0.28 0.65 0.554661 -3.68924e-06 0.623852  2.61432e-05  0.000531722  2.60914e-05     -1.57118 -4.41767e-05      1.57036      0.78545
