playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
12.575 0.25 0.28 0.65 0.554644 -4.24393e-06 0.62392  2.09392e-09  0.000576889 -1.25028e-08     -1.57133 -3.96056e-05      1.57069     0.785398
12.576 0.25 0.28 0.65 0.554644 -4.27e-06 0.623916 2.28807e-07 0.000579269 2.17653e-07    -1.57133 -3.9915e-05     1.57069    0.785399
12.577 0.25 0.28 0.65 0.554646 -4.30017e-06 0.623911  5.43403e-07  0.000582843  5.34441e-07     -1.57133 -4.02775e-05      1.57068     0.785399
12.578 0.25 0.28 0.65 0.554647 -4.33153e-06 0.623905  9.43852e-07  0.000586782  9.35704e-07     -1.57133 -4.06583e-05      1.57067       0.7854
12.579 0.25 0.28 0.65 0.554649 -4.36165e-06 0.623899  1.42999e-06  0.000590702  1.42167e-06     -1.57133 -4.10471e-05      1.57066     0.785401
12.58 0.25 0.28 0.65 0.55465 -4.38835e-06 0.623893  2.00214e-06  0.000594426  1.99303e-06     -1.57133 -4.14394e-05      1.57065     0.785402
12.581 0.25 0.28 0.65 0.554652 -4.40982e-06 0.623886  2.66075e-06   0.00059787  2.65046e-06     -1.57133 -4.18333e-05      1.57064     0.785403
12.582 0.25 0.28 0.65 0.554653 -4.42459e-06 0.62388  3.40626e-06  0.000600996  3.39456e-06     -1.57133 -4.22278e-05      1.57064     0.785405
12.583 0.25 0.28 0.65 0.554655 -4.4314e-06 0.623874   4.2391e-06  0.000603786  4.22584e-06     -1.57133 -4.26225e-05      1.57063     0.785407
12.584 0.25 0.28 0.65 0.554656 -4.42909e-06 0.623867  5.15968e-06  0.000606229  5.14479e-06     -1.57133 -4.30173e-05      1.57062     0.785408
12.585 0.25 0.28 0.65 0.554658 -4.41659e-06 0.623861  6.16838e-06  0.000608321  6.15183e-06     -1.57134 -4.34119e-05      1.57061      0.78541
12.586 0.25 0.28 0.65 0.554659 -4.39289e-06 0.623855  7.26561e-06  0.000610058  7.24739e-06     -1.57134 -4.38064e-05       1.5706     0.785413
12.587 0.25 0.28 0.65 0.554661 -4.35696e-06 0.623849  8.45172e-06  0.000611439  8.43188e-06     -1.57134 -4.42007e-05      1.57059     0.785415
12.588 0.25 0.28 0.65 0.554662 -4.30784e-06 0.623842  9.72711e-06  0.000612462   9.7057e-06     -1.57135 -4.45948e-05      1.57058     0.785418
12.589 0.25 0.28 0.65 0.554664 -4.24453e-06 0.623836  1.10921e-05  0.000613125  1.10693e-05     -1.57135 -4.49887e-05      1.57057      0.78542
12.59 0.25 0.28 0.65 0.554665 -4.16606e-06 0.62383  1.25472e-05  0.000613426  1.25229e-05     -1.57135 -4.53825e-05      1.57056     0.785423
12.591 0.25 0.28 0.65 0.554666 -4.07148e-06 0.623824 1.40926e-05 0.000613364 1.40671e-05    -1.57136 -4.5776e-05     1.57056    0.785426
12.592 0.25 0.28 0.65 0.554668 -3.95983e-06 0.623818  1.57287e-05  0.000612938  1.57022e-05     -1.57136 -4.61692e-05      1.57055      0.78543
12.593 0.25 0.28 0.65 0.554669 -3.83016e-06 0.623812  1.74559e-05  0.000612146  1.74285e-05     -1.57137 -4.65623e-05      1.57054     0.785433
12.594 0.25 0.28 0.65 0.55467 -3.68152e-06 0.623806  1.92746e-05  0.000610987  1.92466e-05     -1.57137 -4.69551e-05      1.57053     0.785437
12.595 0.25 0.28 0.65 0.554672 -3.51298e-06 0.6238   2.1185e-05  0.000609459  2.11566e-05     -1.57138 -4.73477e-05      1.57052      0.78544
12.596 0.25 0.28 0.65 0.554673 -3.32361e-06 0.623794 2.31876e-05 0.000607562 2.31591e-05    -1.57139  -4.774e-05     1.57051    0.785444
12.597 0.25 0.28 0.65 0.554674 -3.11248e-06 0.623788  2.52827e-05  0.000605293  2.52544e-05     -1.57139 -4.81321e-05       1.5705     0.785448
12.598 0.25 0.28 0.65 0.554675 -2.87867e-06 0.623783  2.74707e-05  0.000602652  2.74429e-05      -1.5714 -4.85239e-05      1.57049     0.785453
