playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
8.402 0.25 0.28 0.65 0.554703 -4.4385e-06 0.62368  7.36437e-06  0.000778531   7.3668e-06      -1.5716 -5.40757e-05      1.57069     0.785413
8.403 0.25 0.28 0.65 0.554704 -4.40553e-06 0.623674  7.59574e-06  0.000784018  7.59929e-06      -1.5716 -5.44708e-05      1.57069     0.785413
8.404 0.25 0.28 0.65 0.554706 -4.37051e-06 0.623667  7.82881e-06  0.000789498  7.83354e-06     -1.57161 -5.48659e-05      1.57069     0.785414
8.405 0.25 0.28 0.65 0.554707 -4.33343e-06 0.623661  8.0636e-06 0.000794971 8.06956e-06    -1.57162 -5.5261e-05     1.57069    0.785414
8.406 0.25 0.28 0.65 0.554709 -4.2943e-06 0.623654  8.3001e-06 0.000800438 8.30733e-06    -1.57163 -5.5656e-05     1.57069    0.785415
8.407 0.25 0.28 0.65 0.55471 -4.25312e-06 0.623648  8.53831e-06  0.000805897  8.54687e-06     -1.57163 -5.60511e-05      1.57069     0.785415
8.408 0.25 0.28 0.65 0.554712 -4.20989e-06 0.623641  8.77823e-06   0.00081135  8.78817e-06     -1.57164 -5.64462e-05      1.57069     0.785415
8.409 0.25 0.28 0.65 0.554713 -4.16462e-06 0.623634  9.01986e-06  0.000816797  9.03122e-06     -1.57165 -5.68412e-05      1.57069     0.785416
8.41 0.25 0.28 0.65 0.554715 -4.1173e-06 0.623628  9.26319e-06  0.000822236  9.27602e-06     -1.57166 -5.72362e-05      1.57068     0.785416
8.411 0.25 0.28 0.65 0.554717 -4.06793e-06 0.623621  9.50823e-06  0.000827669  9.52259e-06     -1.57166 -5.76312e-05      1.57068     0.785417
8.412 0.25 0.28 0.65 0.554718 -4.01652e-06 0.623615  9.75497e-06  0.000833096   9.7709e-06     -1.57167 -5.80262e-05      1.57068     0.785417
8.413 0.25 0.28 0.65 0.55472 -3.96306e-06 0.623608  1.00034e-05  0.000838515   1.0021e-05     -1.57168 -5.84212e-05      1.57068     0.785418
8.414 0.25 0.28 0.65 0.554721 -3.90757e-06 0.623602  1.02536e-05  0.000843928  1.02728e-05     -1.57168 -5.88162e-05      1.57068     0.785418
8.415 0.25 0.28 0.65 0.554723 -3.85004e-06 0.623595  1.05054e-05  0.000849334  1.05264e-05     -1.57169 -5.92112e-05      1.57068     0.785419
8.416 0.25 0.28 0.65 0.554724 -3.79047e-06 0.623589   1.0759e-05  0.000854734  1.07817e-05      -1.5717 -5.96061e-05      1.57068     0.785419
8.417 0.25 0.28 0.65 0.554726 -3.72886e-06 0.623582 1.10142e-05 0.000860127 1.10387e-05    -1.57171 -6.0001e-05     1.57068     0.78542
8.418 0.25 0.28 0.65 0.554727 -3.66522e-06 0.623575 1.12711e-05 0.000865513 1.12975e-05    -1.57171 -6.0396e-05     1.57068     0.78542
8.419 0.25 0.28 0.65 0.554729 -3.59954e-06 0.623569  1.15298e-05  0.000870892  1.15581e-05     -1.57172 -6.07909e-05      1.57068     0.785421
8.42 0.25 0.28 0.65 0.55473 -3.53183e-06 0.623562  1.17901e-05  0.000876265  1.18204e-05     -1.57173 -6.11858e-05      1.57068     0.785421
8.421 0.25 0.28 0.65 0.554732 -3.46209e-06 0.623556  1.20521e-05  0.000881631  1.20844e-05     -1.57174 -6.15806e-05      1.57068     0.785422
8.422 0.25 0.28 0.65 0.554733 -3.39032e-06 0.623549  1.23158e-05  0.000886991  1.23502e-05     -1.57174 -6.19755e-05      1.57068     0.785422
8.423 0.25 0.28 0.65 0.554735 -3.31652e-06 0.623543  1.25812e-05  0.000892344  1.26177e-05     -1.57175 -6.23704e-05      1.57068     0.785423
8.424 0.25 0.28 0.65 0.554736 -3.2407e-06 0.623536  1.28483e-05   0.00089769   1.2887e-05     -1.57176 -6.27652e-05      1.57068     0.785423
8.425 0.25 0.28 0.65 0.554738 -3.16285e-06 0.62353 1.31171e-05  0.00090303 1.31579e-05    -1.57177  -6.316e-05     1.57068    0.785424
8.426 0.25 0.28 0.65 0.554739 -3.08298e-06 0.623523  1.33876e-05  0.000908363  1.34307e-05     -1.57177 -6.35548e-05      1.57067     0.785424
8.427 0.25 0.28 0.65 0.554741 -3.00108e-06 0.623516  1.36597e-05  0.000913689  1.37051e-05     -1.57178 -6.39496e-05      1.57067     0.785425
8.428 0.25 0.28 0.65 0.554742 -2.91716e-06 0.62351  1.39336e-05  0.000919009  1.39813e-05     -1.57179 -6.43444e-05      1.57067     0.785425
8.429 0.25 0.28 0.65 0.554743 -2.83123e-06 0.623503  1.42091e-05  0.000924322  1.42592e-05      -1.5718 -6.47392e-05      1.57067     0.785426
8.43 0.25 0.28 0.65 0.554745 -2.74327e-06 0.623497  1.44863e-05  0.000929629  1.45389e-05      -1.5718 -6.51339e-05      1.57067     0.785426
8.431 0.25 0.28 0.65 0.554746 -2.6533e-06 0.62349  1.47652e-05  0.000934929  1.48202e-05     -1.57181 -6.55287e-05      1.57067     0.785427
8.432 0.25 0.28 0.65 0.554748 -2.56131e-06 0.623484  1.50457e-05  0.000940222  1.51033e-05     -1.57182 -6.59234e-05      1.57067     0.785428
8.433 0.25 0.28 0.65 0.554749 -2.46731e-06 0.623477   1.5328e-05  0.000945509  1.53882e-05     -1.57183 -6.63181e-05      1.57067     0.785428
8.434 0.25 0.28 0.65 0.554751 -2.3713e-06 0.623471  1.56119e-05  0.000950789  1.56747e-05     -1.57183 -6.67128e-05      1.57067     0.785429
8.435 0.25 0.28 0.65 0.554752 -2.27327e-06 0.623464  1.58975e-05  0.000956062   1.5963e-05     -1.57184 -6.71075e-05      1.57067     0.785429
8.436 0.25 0.28 0.65 0.554754 -2.17323e-06 0.623457  1.61847e-05  0.000961329   1.6253e-05     -1.57185 -6.75022e-05      1.57067      0.78543
8.437 0.25 0.28 0.65 0.554755 -2.07119e-06 0.623451  1.64737e-05   0.00096659  1.65447e-05     -1.57186 -6.78968e-05      1.57067      0.78543
8.438 0.25 0.28 0.65 0.554757 -1.96714e-06 0.623444  1.67643e-05  0.000971844  1.68382e-05     -1.57186 -6.82915e-05      1.57067     0.785431
8.439 0.25 0.28 0.65 0.554758 -1.86108e-06 0.623438  1.70565e-05  0.000977091  1.71333e-05     -1.57187 -6.86861e-05      1.57067     0.785431
8.44 0.25 0.28 0.65 0.55476 -1.75302e-06 0.623431  1.73505e-05  0.000982332  1.74302e-05     -1.57188 -6.90807e-05      1.57067     0.785432
8.441 0.25 0.28 0.65 0.554761 -1.64296e-06 0.623425  1.76461e-05  0.000987566  1.77288e-05     -1.57189 -6.94753e-05      1.57066     0.785433
8.442 0.25 0.28 0.65 0.554763 -1.53089e-06 0.623418  1.79434e-05  0.000992794  1.80291e-05     -1.57189 -6.98699e-05      1.57066     0.785433
8.443 0.25 0.28 0.65 0.554764 -1.41683e-06 0.623412  1.82423e-05  0.000998015  1.83311e-05      -1.5719 -7.02644e-05      1.57066     0.785434
8.444 0.25 0.28 0.65 0.554765 -1.30076e-06 0.623405  1.8543e-05  0.00100323 1.86348e-05    -1.57191 -7.0659e-05     1.57066    0.785434
8.445 0.25 0.28 0.65 0.554767 -1.1827e-06 0.623398  1.88452e-05   0.00100844  1.89402e-05     -1.57192 -7.10535e-05      1.57066     0.785435
8.446 0.25 0.28 0.65 0.554768 -1.06264e-06 0.623392 1.91492e-05  0.00101364 1.92474e-05    -1.57193 -7.1448e-05     1.57066    0.785435
8.447 0.25 0.28 0.65 0.55477 -9.40591e-07 0.623385  1.94548e-05   0.00101883  1.95562e-05     -1.57193 -7.18425e-05      1.57066     0.785436
8.448 0.25 0.28 0.65 0.554771 -8.16546e-07 0.623379  1.9762e-05  0.00102402 1.98668e-05    -1.57194 -7.2237e-05     1.57066    0.785437
8.449 0.25 0.28 0.65 0.554773 -6.9051e-07 0.623372  2.00709e-05    0.0010292  2.01791e-05     -1.57195 -7.26315e-05      1.57066     0.785437
8.45 0.25 0.28 0.65 0.554774 -5.62483e-07 0.623366 2.03815e-05  0.00103438  2.0493e-05    -1.57196 -7.3026e-05     1.57066    0.785438
8.451 0.25 0.28 0.65 0.554775 -4.32467e-07 0.623359  2.06937e-05   0.00103955  2.08087e-05     -1.57196 -7.34204e-05      1.57066     0.785438
8.452 0.25 0.28 0.65 0.554777 -3.00464e-07 0.623353  2.10076e-05   0.00104471  2.11261e-05     -1.57197 -7.38148e-05      1.57066     0.785439
8.453 0.25 0.28 0.65 0.554778 -1.66475e-07 0.623346  2.13231e-05   0.00104987  2.14451e-05     -1.57198 -7.42092e-05      1.57066      0.78544
8.454 0.25 0.28 0.65 0.55478 -3.05007e-08 0.623339  2.16403e-05   0.00105502  2.17659e-05     -1.57199 -7.46036e-05      1.57066      0.78544
8.455 0.25 0.28 0.65 0.554781 1.07456e-07 0.623333 2.19592e-05  0.00106016 2.20884e-05    -1.57199 -7.4998e-05     1.57066    0.785441
8.456 0.25 0.28 0.65 0.554783 2.47395e-07 0.623326  2.22796e-05    0.0010653  2.24125e-05       -1.572 -7.53924e-05      1.57066     0.785441
8.457 0.25 0.28 0.65 0.554784 3.89315e-07 0.62332  2.26018e-05   0.00107043  2.27384e-05     -1.57201 -7.57867e-05      1.57066     0.785442
8.458 0.25 0.28 0.65 0.554785 5.33213e-07 0.623313 2.29256e-05  0.00107555 2.30659e-05    -1.57202 -7.6181e-05     1.57065    0.785443
8.459 0.25 0.28 0.65 0.554787 6.79089e-07 0.623307   2.3251e-05   0.00108067  2.33951e-05     -1.57203 -7.65754e-05      1.57065     0.785443
