playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
10.803 0.25 0.28 0.65 0.554646 -4.24507e-06 0.623918 -6.48858e-21  0.000576614 -1.48982e-08     -1.57134 -3.95938e-05      1.57072     0.785398
10.804 0.25 0.28 0.65 0.554647 -4.27125e-06 0.623914  2.26664e-07  0.000578984  2.15143e-07     -1.57134 -3.99029e-05      1.57071     0.785399
10.805 0.25 0.28 0.65 0.554648 -4.30145e-06 0.623909  5.41245e-07  0.000582551  5.31879e-07     -1.57134 -4.02652e-05       1.5707     0.785399
10.806 0.25 0.28 0.65 0.554649 -4.33282e-06 0.623903   9.417e-07 0.000586488 9.33115e-07    -1.57134 -4.0646e-05      1.5707      0.7854
10.807 0.25 0.28 0.65 0.554651 -4.36293e-06 0.623897  1.42785e-06  0.000590407  1.41907e-06     -1.57134 -4.10347e-05      1.57069     0.785401
10.808 0.25 0.28 0.65 0.554653 -4.38963e-06 0.62389 2.00002e-06  0.00059413 1.99041e-06    -1.57134 -4.1427e-05     1.57068    0.785402
10.809 0.25 0.28 0.65 0.554654 -4.4111e-06 0.623884  2.65864e-06  0.000597574  2.64782e-06     -1.57134 -4.18209e-05      1.57067     0.785403
10.81 0.25 0.28 0.65 0.554656 -4.42587e-06 0.623877  3.40417e-06    0.0006007   3.3919e-06     -1.57134 -4.22155e-05      1.57066     0.785405
10.811 0.25 0.28 0.65 0.554657 -4.43267e-06 0.623871  4.23702e-06  0.000603489  4.22317e-06     -1.57134 -4.26102e-05      1.57065     0.785407
10.812 0.25 0.28 0.65 0.554659 -4.43035e-06 0.623865 5.15761e-06 0.000605932  5.1421e-06    -1.57134 -4.3005e-05     1.57064    0.785408
10.813 0.25 0.28 0.65 0.55466 -4.41786e-06 0.623859  6.16633e-06  0.000608024  6.14913e-06     -1.57135 -4.33996e-05      1.57063      0.78541
10.814 0.25 0.28 0.65 0.554662 -4.39415e-06 0.623852  7.26356e-06  0.000609762  7.24467e-06     -1.57135 -4.37941e-05      1.57062     0.785413
10.815 0.25 0.28 0.65 0.554663 -4.35823e-06 0.623846  8.44969e-06  0.000611143  8.42915e-06     -1.57135 -4.41885e-05      1.57062     0.785415
10.816 0.25 0.28 0.65 0.554665 -4.3091e-06 0.62384  9.72508e-06  0.000612165  9.70296e-06     -1.57136 -4.45827e-05      1.57061     0.785418
