playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
9.432 0.3 -0.012 0.52 -0.0200038 -4.12991e-05 0.827969 0.15 -0.012 0.65 0.246409 6.71228e-07 -1.05225 -0.000147231 -1.58573 0.000157147 0.54593 -0.0198645
9.433 0.3 -0.012 0.52 -0.019913 -4.6135e-05 0.827824 0.15 -0.012 0.65 0.246241 6.1119e-07 -1.05246 -0.000151743 -1.58643 0.000134615 0.546034 -0.0198651
9.434 0.3 -0.012 0.52 -0.0198206 -5.10738e-05 0.827676 0.15 -0.012 0.65 0.24607 5.14356e-07 -1.05269 -0.000156371 -1.58714 0.00011166 0.546141 -0.0198657
9.435 0.3 -0.012 0.52 -0.0197267 -5.6113e-05 0.827526 0.15 -0.012 0.65 0.245897 3.79581e-07 -1.05291 -0.000161112 -1.58787 8.82985e-05 0.546252 -0.0198664
9.436 0.3 -0.012 0.52 -0.0196313 -6.125e-05 0.827373 0.15 -0.012 0.65 0.24572 2.0579e-07 -1.05314 -0.000165966 -1.58861 6.45425e-05 0.546367 -0.019867
9.437 0.3 -0.012 0.52 -0.0195346 -6.64827e-05 0.827218 0.15 -0.012 0.65 0.245541 -8.02133e-09 -1.05338 -0.000170931 -1.58937 4.04051e-05 0.546485 -0.0198677
9.438 0.3 -0.012 0.52 -0.0194365 -7.18086e-05 0.82706 0.15 -0.012 0.65 0.245359 -2.62793e-07 -1.05362 -0.000176005 -1.59013 1.58991e-05 0.546607 -0.0198683
9.439 0.3 -0.012 0.52 -0.0193371 -7.72254e-05 0.8269 0.15 -0.012 0.65 0.245175 -5.59398e-07 -1.05386 -0.000181187 -1.5909 -8.96335e-06 0.546732 -0.019869
9.44 0.3 -0.012 0.52 -0.0192365 -8.2731e-05 0.826738 0.15 -0.012 0.65 0.244989 -8.98651e-07 -1.05411 -0.000186474 -1.59169 -3.41704e-05 0.546861 -0.0198697
9.441 0.3 -0.012 0.52 -0.0191346 -8.83232e-05 0.826574 0.15 -0.012 0.65 0.2448 -1.2813e-06 -1.05436 -0.000191866 -1.59249 -5.97105e-05 0.546993 -0.0198703
9.442 0.3 -0.012 0.52 -0.0190316 -9.39999e-05 0.826408 0.15 -0.012 0.65 0.244608 -1.70805e-06 -1.05461 -0.000197361 -1.59329 -8.55724e-05 0.54713 -0.019871
9.443 0.3 -0.012 0.52 -0.0189275 -9.97591e-05 0.82624 0.15 -0.012 0.65 0.244415 -2.17954e-06 -1.05487 -0.000202957 -1.59411 -0.000111745 0.547269 -0.0198716
9.444 0.3 -0.012 0.52 -0.0188224 -0.000105599 0.82607 0.15 -0.012 0.65 0.244219 -2.69636e-06 -1.05513 -0.000208653 -1.59493 -0.000138219 0.547413 -0.0198723
9.445 0.3 -0.012 0.52 -0.0187162 -0.000111517 0.825898 0.15 -0.012 0.65 0.244022 -3.25905e-06 -1.0554 -0.000214448 -1.59577 -0.000164982 0.54756 -0.019873
9.446 0.3 -0.012 0.52 -0.018609 -0.000117512 0.825724 0.15 -0.012 0.65 0.243822 -3.8681e-06 -1.05567 -0.00022034 -1.59661 -0.000192025 0.54771 -0.0198736
9.447 0.3 -0.012 0.52 -0.0185008 -0.000123581 0.825549 0.15 -0.012 0.65 0.243621 -4.52395e-06 -1.05594 -0.000226327 -1.59747 -0.000219339 0.547865 -0.0198743
9.448 0.3 -0.012 0.52 -0.0183918 -0.000129724 0.825372 0.15 -0.012 0.65 0.243417 -5.227e-06 -1.05622 -0.000232409 -1.59833 -0.000246914 0.548022 -0.0198749
9.449 0.3 -0.012 0.52 -0.0182818 -0.000135938 0.825193 0.15 -0.012 0.65 0.243212 -5.97761e-06 -1.0565 -0.000238583 -1.5992 -0.000274741 0.548184 -0.0198756
9.45 0.3 -0.012 0.52 -0.018171 -0.000142221 0.825013 0.15 -0.012 0.65 0.243006 -6.77611e-06 -1.05678 -0.000244849 -1.60007 -0.000302811 0.548349 -0.0198763
9.451 0.3 -0.012 0.52 -0.0180594 -0.000148573 0.824831 0.15 -0.012 0.65 0.242797 -7.62276e-06 -1.05706 -0.000251206 -1.60096 -0.000331116 0.548517 -0.0198769
9.452 0.3 -0.012 0.52 -0.017947 -0.00015499 0.824648 0.15 -0.012 0.65 0.242587 -8.51781e-06 -1.05735 -0.000257651 -1.60185 -0.000359646 0.548689 -0.0198776
9.453 0.3 -0.012 0.52 -0.0178339 -0.000161473 0.824463 0.15 -0.012 0.65 0.242375 -9.46146e-06 -1.05765 -0.000264185 -1.60275 -0.000388394 0.548865 -0.0198782
9.454 0.3 -0.012 0.52 -0.01772 -0.000168018 0.824277 0.15 -0.012 0.65 0.242162 -1.04539e-05 -1.05794 -0.000270804 -1.60365 -0.000417352 0.549044 -0.0198788
9.455 0.3 -0.012 0.52 -0.0176055 -0.000174625 0.82409 0.15 -0.012 0.65 0.241948 -1.14952e-05 -1.05824 -0.000277509 -1.60457 -0.000446513 0.549226 -0.0198795
9.456 0.3 -0.012 0.52 -0.0174902 -0.000181293 0.823901 0.15 -0.012 0.65 0.241732 -1.25856e-05 -1.05854 -0.000284298 -1.60549 -0.000475868 0.549413 -0.0198801
9.457 0.3 -0.012 0.52 -0.0173743 -0.000188019 0.823711 0.15 -0.012 0.65 0.241515 -1.3725e-05 -1.05884 -0.00029117 -1.60641 -0.000505411 0.549602 -0.0198808
9.458 0.3 -0.012 0.52 -0.0172578 -0.000194802 0.82352 0.15 -0.012 0.65 0.241296 -1.49137e-05 -1.05915 -0.000298123 -1.60734 -0.000535134 0.549796 -0.0198814
9.459 0.3 -0.012 0.52 -0.0171408 -0.000201642 0.823328 0.15 -0.012 0.65 0.241076 -1.61514e-05 -1.05945 -0.000305157 -1.60828 -0.00056503 0.549992 -0.019882
9.46 0.3 -0.012 0.52 -0.0170231 -0.000208536 0.823135 0.15 -0.012 0.65 0.240855 -1.74384e-05 -1.05977 -0.00031227 -1.60922 -0.000595094 0.550193 -0.0198826
9.461 0.3 -0.012 0.52 -0.0169049 -0.000215484 0.82294 0.15 -0.012 0.65 0.240633 -1.87745e-05 -1.06008 -0.000319462 -1.61017 -0.000625317 0.550396 -0.0198833
9.462 0.3 -0.012 0.52 -0.0167862 -0.000222484 0.822744 0.15 -0.012 0.65 0.24041 -2.01597e-05 -1.0604 -0.000326731 -1.61113 -0.000655695 0.550604 -0.0198839
9.463 0.3 -0.012 0.52 -0.0166669 -0.000229535 0.822548 0.15 -0.012 0.65 0.240186 -2.15939e-05 -1.06071 -0.000334077 -1.61209 -0.000686221 0.550814 -0.0198845
9.464 0.3 -0.012 0.52 -0.0165472 -0.000236636 0.82235 0.15 -0.012 0.65 0.23996 -2.30771e-05 -1.06103 -0.000341497 -1.61305 -0.000716889 0.551028 -0.0198851
9.465 0.3 -0.012 0.52 -0.016427 -0.000243785 0.822151 0.15 -0.012 0.65 0.239734 -2.4609e-05 -1.06136 -0.000348992 -1.61402 -0.000747693 0.551246 -0.0198857
9.466 0.3 -0.012 0.52 -0.0163064 -0.000250982 0.821952 0.15 -0.012 0.65 0.239506 -2.61897e-05 -1.06168 -0.00035656 -1.61499 -0.000778628 0.551467 -0.0198863
9.467 0.3 -0.012 0.52 -0.0161853 -0.000258225 0.821751 0.15 -0.012 0.65 0.239278 -2.78189e-05 -1.06201 -0.0003642 -1.61597 -0.000809687 0.551691 -0.0198869
