step,contact_force_magnitude,fs_force_x,fs_force_y,fs_force_z,fs_torque_x,fs_torque_y,fs_torque_z,osc_torque_j1,ft_torque_j1,diff_torque_j1,osc_torque_j2,ft_torque_j2,diff_torque_j2,osc_torque_j3,ft_torque_j3,diff_torque_j3,osc_torque_j4,ft_torque_j4,diff_torque_j4,osc_torque_j5,ft_torque_j5,diff_torque_j5,osc_torque_j6,ft_torque_j6,diff_torque_j6,osc_torque_j7,ft_torque_j7,diff_torque_j7
120,0.0,0.059414930641651154,0.02468613162636757,0.8648054599761963,-0.00014612260565627366,0.010722236707806587,-8.191941742552444e-05,-0.09904652833938599,-0.19028590619564056,0.09123937785625458,3.889458417892456,3.815767526626587,0.07369089126586914,-0.3551420569419861,-0.42819857597351074,0.07305651903152466,-0.6786644458770752,-0.6118735074996948,-0.06679093837738037,0.048354603350162506,0.03746066242456436,0.010893940925598145,-0.2537761330604553,-0.24948057532310486,-0.004295557737350464,0.00089441699674353,0.00011723518400685862,0.000777181820012629
125,0.0,0.060426097363233566,0.0007312360685318708,0.9355721473693848,0.001098428969271481,0.010861617513000965,-0.00012142126070102677,0.2978912889957428,0.2303556203842163,0.06753566861152649,4.235933780670166,4.180362224578857,0.055571556091308594,-0.08903881907463074,-0.14207345247268677,0.05303463339805603,-0.9677945375442505,-0.9148245453834534,-0.05296999216079712,0.08741600066423416,0.08211596310138702,0.0053000375628471375,-0.26698797941207886,-0.2648220956325531,-0.002165883779525757,0.0011133867083117366,-0.0005647237412631512,0.0016781104495748878
135,0.0,-0.17928174138069153,0.8440565466880798,0.8742799162864685,-0.02851272188127041,0.002462242729961872,-0.007811532821506262,-2.2308051586151123,-2.914411783218384,0.6836066246032715,3.795952796936035,3.900670289993286,-0.10471749305725098,-2.4034504890441895,-3.076014518737793,0.6725640296936035,-0.5927519798278809,-0.7800254821777344,0.18727350234985352,-0.12147665023803711,-0.16419045627117157,0.04271380603313446,-0.3620509207248688,-0.45421287417411804,0.09216195344924927,0.0003586334642022848,-0.00019473426800686866,0.0005533677176572382
140,7.331388473510742,-0.7348583340644836,-0.2771620452404022,7.338398456573486,-0.029402367770671844,-0.00956327747553587,0.0013441037153825164,-3.549036741256714,-0.5265505313873291,-3.0224862098693848,4.258014678955078,4.0635223388671875,0.19449234008789062,-3.7247111797332764,-0.8157146573066711,-2.90899658203125,-1.4052352905273438,-1.1475309133529663,-0.25770437717437744,-0.09331255406141281,-0.027518684044480324,-0.06579387187957764,-0.9504958987236023,-0.593896210193634,-0.35659968852996826,-0.0003503843618091196,-0.0005235682474449277,0.0001731838856358081
145,10.169962882995605,-0.5344408750534058,-0.5597785711288452,10.159435272216797,0.2126530259847641,0.04480677843093872,0.0030069854110479355,-0.3606376349925995,-0.24138465523719788,-0.11925297975540161,4.10715389251709,4.053523540496826,0.05363035202026367,-0.6613909006118774,-0.5491281747817993,-0.11226272583007812,-1.1687238216400146,-1.1478981971740723,-0.020825624465942383,-0.031686097383499146,-0.02315875142812729,-0.008527345955371857,-0.6222501397132874,-0.6183586716651917,-0.003891468048095703,0.001587091595865786,-0.0006342829437926412,0.0022213745396584272
150,9.803545951843262,-0.5369029641151428,-1.5775774717330933,9.809916496276855,0.07672784477472305,0.04295177385210991,-0.003051378997042775,-1.6332333087921143,-0.2519678771495819,-1.38126540184021,4.123921871185303,4.091236114501953,0.03268575668334961,-1.8758106231689453,-0.5576324462890625,-1.3181781768798828,-1.2589771747589111,-1.1770912408828735,-0.0818859338760376,-0.08078937232494354,-0.052496906369924545,-0.028292465955018997,-0.7448925375938416,-0.623729944229126,-0.12116259336471558,-0.00039046129677444696,-0.00017077884695027024,-0.00021968244982417673
155,9.18164348602295,-0.6181707382202148,-0.027656273916363716,9.236306190490723,0.17853882908821106,-0.007259970996528864,0.005068491213023663,-0.5703151226043701,-0.347120463848114,-0.2231946587562561,4.182925701141357,4.075952529907227,0.10697317123413086,-0.8530925512313843,-0.6360538601875305,-0.21703869104385376,-1.217522144317627,-1.1782139539718628,-0.03930819034576416,-0.03261233866214752,-0.02867930755019188,-0.003933031111955643,-0.6596883535385132,-0.6371942162513733,-0.022494137287139893,0.002627073787152767,-3.2901189115364105e-05,0.0026599750854074955
160,10.354108810424805,-0.5579218864440918,-1.0111485719680786,10.310956954956055,0.12879548966884613,0.04458779841661453,-0.0009231109288521111,-0.2921190559864044,-0.3167889416217804,0.024669885635375977,4.1307454109191895,4.129240036010742,0.0015053749084472656,-0.5919907689094543,-0.6155549883842468,0.02356421947479248,-1.200042486190796,-1.1939994096755981,-0.006043076515197754,-0.04223642125725746,-0.038465116173028946,-0.0037713050842285156,-0.6595466136932373,-0.6575863361358643,-0.001960277557373047,0.00018330244347453117,-0.0008011257741600275,0.0009844282176345587
165,10.827858924865723,-0.4446147084236145,-0.306593120098114,10.866598129272461,0.23013044893741608,0.0024211453273892403,0.005956930108368397,-0.19503945112228394,0.1472637951374054,-0.34230324625968933,4.118194103240967,4.158918857574463,-0.040724754333496094,-0.49444589018821716,-0.18523530662059784,-0.3092105984687805,-1.1819887161254883,-1.208540678024292,0.02655196189880371,-0.026233751326799393,-0.028747186064720154,0.002513434737920761,-0.6785919666290283,-0.7110093832015991,0.0324174165725708,0.0027403095737099648,-0.0014773792354390025,0.004217688925564289
170,10.137995719909668,-0.47146075963974,-1.3577440977096558,10.137298583984375,0.0935816764831543,0.03042072243988514,-0.0029579780530184507,-0.7515518665313721,-0.41286659240722656,-0.3386852741241455,4.127920150756836,4.133703708648682,-0.005783557891845703,-1.0163377523422241,-0.6949436664581299,-0.32139408588409424,-1.2014528512954712,-1.194556474685669,-0.006896376609802246,-0.049870770424604416,-0.03977520018815994,-0.010095570236444473,-0.6870964765548706,-0.6645890474319458,-0.022507429122924805,-0.00033335687476210296,-0.0001014139925246127,-0.00023194288951344788
175,11.589054107666016,-0.33787816762924194,-0.7554371356964111,11.608126640319824,0.2868347465991974,0.027323493734002113,-0.003572930349037051,-0.6844003200531006,-0.34282413125038147,-0.3415761888027191,4.072181701660156,4.153079986572266,-0.08089828491210938,-0.945505678653717,-0.6281102299690247,-0.3173954486846924,-1.1758917570114136,-1.2124760150909424,0.03658425807952881,-0.039518196135759354,-0.02755206823348999,-0.011966127902269363,-0.6528322100639343,-0.69826340675354,0.04543119668960571,-0.0007248224574141204,0.000926220731344074,-0.0016510431887581944
180,10.161920547485352,-0.47928792238235474,-1.0844573974609375,10.141016960144043,0.10070855170488358,0.02248450741171837,0.0004981031524948776,-0.8402825593948364,-0.4647371470928192,-0.3755454123020172,4.140741348266602,4.1246137619018555,0.016127586364746094,-1.102212905883789,-0.742850661277771,-0.35936224460601807,-1.2176626920700073,-1.1980438232421875,-0.019618868827819824,-0.048602864146232605,-0.0420425720512867,-0.006560292094945908,-0.711056113243103,-0.6757481694221497,-0.03530794382095337,0.0007672240608371794,0.0005284784710966051,0.00023874558974057436
