step,contact_force_x,contact_force_y,contact_force_z,contact_force_magnitude,fs_force_x_raw,fs_force_y_raw,fs_force_z_raw,fs_torque_x_raw,fs_torque_y_raw,fs_torque_z_raw,fs_force_x_raw2,fs_force_y_raw2,fs_force_z_raw2,fs_torque_x_raw2,fs_torque_y_raw2,fs_torque_z_raw2,link_data[joint2_force_x_raw],link_data[joint2_force_y_raw],link_data[joint2_force_z_raw],link_data[joint2_torque_x_raw],link_data[joint2_torque_y_raw],link_data[joint2_torque_z_raw],act_tor_j1,act_tor_j2,act_tor_j3,act_tor_j4,act_tor_j5,act_tor_j6,act_tor_j7,osc_torque_j1,osc_torque_j2,osc_torque_j3,osc_torque_j4,osc_torque_j5,osc_torque_j6,osc_torque_j7,joint_pos_j1,joint_vel_j1,joint_pos_j2,joint_vel_j2,joint_pos_j3,joint_vel_j3,joint_pos_j4,joint_vel_j4,joint_pos_j5,joint_vel_j5,joint_pos_j6,joint_vel_j6,joint_pos_j7,joint_vel_j7
55,0.0,0.0,0.0,0.0,0.10196088999509811,0.029377330094575882,0.7757656574249268,-9.331361798103899e-05,0.00978420116007328,0.0010725639294832945,-0.0019281844142824411,0.0001779431477189064,0.0003432734520174563,-2.4886494429665618e-05,-0.0002461989352013916,-1.2241264812473673e-05,9.493082046508789,-1.8785359859466553,-1.387081265449524,0.3681892156600952,3.658184051513672,-0.8019112348556519,-0.8022006750106812,3.663411855697632,-0.8691439032554626,-0.826707661151886,0.019867055118083954,-0.21442537009716034,0.007480483967810869,"tensor(-0.9711, device='cuda:0')","tensor(3.6944, device='cuda:0')","tensor(-1.0312, device='cuda:0')","tensor(-1.0546, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(-0.2661, device='cuda:0')","tensor(0.0071, device='cuda:0')",0.24365203082561493,-0.021624721586704254,-0.5086725950241089,0.1123637706041336,0.07303433120250702,-0.014073030091822147,-2.5911993980407715,0.03824960067868233,-0.5610213279724121,-0.06955928355455399,2.7773308753967285,0.023154256865382195,1.5453077554702759,0.15905117988586426
60,0.0,0.0,0.0,0.0,0.766139566898346,-0.5599595308303833,0.42891445755958557,0.023650918155908585,0.039786748588085175,0.00783607829362154,-0.0023682580795139074,0.000248200842179358,0.00042076859972439706,-3.4239350497955456e-05,-0.00030223443172872066,-1.4684033885714598e-05,11.70324993133545,-0.3010144531726837,1.5300575494766235,0.22619862854480743,3.253829002380371,-0.20473116636276245,-0.2056698203086853,3.2536373138427734,-0.2864910662174225,0.5685000419616699,0.029147718101739883,0.14807908236980438,0.005740294232964516,"tensor(-0.7145, device='cuda:0')","tensor(3.5890, device='cuda:0')","tensor(-0.8061, device='cuda:0')","tensor(-0.5612, device='cuda:0')","tensor(0.0314, device='cuda:0')","tensor(-0.1525, device='cuda:0')","tensor(0.0033, device='cuda:0')",0.24150218069553375,-0.06332904100418091,-0.5026279091835022,0.07899247109889984,0.07216335833072662,-0.006435428746044636,-2.5898308753967285,0.0036632856354117393,-0.5649777054786682,-0.06517741084098816,2.7797324657440186,0.0446426160633564,1.5519065856933594,0.10307415574789047
65,0.0,0.0,0.0,0.0,-0.09999009966850281,0.312747061252594,0.6265836358070374,-0.011572743766009808,0.00026450311997905374,-0.0024409417528659105,-0.0010666261659935117,-0.0007095942855812609,0.00013648587628267705,8.680880273459479e-05,-0.0001351660321233794,-2.3566830350318924e-05,9.14299201965332,-1.0377777814865112,-2.169264554977417,-0.07544802129268646,3.6082119941711426,-1.4024957418441772,-1.0212005376815796,3.668081045150757,-1.099476933479309,-1.0401204824447632,0.015355094335973263,-0.26227036118507385,0.005258607678115368,"tensor(-1.0064, device='cuda:0')","tensor(3.6294, device='cuda:0')","tensor(-1.1094, device='cuda:0')","tensor(-0.9509, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(-0.2306, device='cuda:0')","tensor(0.0046, device='cuda:0')",0.23823802173137665,-0.08264482021331787,-0.4985637068748474,0.10606598854064941,0.07176901400089264,0.0002645803615450859,-2.589627981185913,0.010826921090483665,-0.5671746730804443,-0.04117100313305855,2.782806396484375,0.08440817147493362,1.5549472570419312,0.042717237025499344
70,0.0,0.0,0.0,0.0,-0.24131140112876892,0.4742988646030426,0.11758537590503693,-0.018006831407546997,-0.010468357242643833,-0.004690781235694885,0.00042966450564563274,-0.00043393796659074724,-0.00010230170300928876,5.469351526699029e-05,5.527674875338562e-05,-5.1899091886298265e-06,9.940614700317383,-0.7831319570541382,-1.1297800540924072,0.030344655737280846,3.5807907581329346,-0.9215730428695679,-0.6738927364349365,3.612853765487671,-0.7725314497947693,-0.609893798828125,0.026531776413321495,-0.16990986466407776,0.002770577324554324,"tensor(-0.5196, device='cuda:0')","tensor(3.5187, device='cuda:0')","tensor(-0.6253, device='cuda:0')","tensor(-0.3049, device='cuda:0')","tensor(0.0247, device='cuda:0')","tensor(-0.0820, device='cuda:0')","tensor(0.0029, device='cuda:0')",0.2342788726091385,-0.082044817507267,-0.49662527441978455,0.028995268046855927,0.07149200886487961,-0.001664942130446434,-2.5906965732574463,-0.025058792904019356,-0.5680782794952393,-0.00021981471218168736,2.785548686981201,0.051037952303886414,1.555345892906189,-0.01859763264656067
75,0.0,0.0,0.0,0.0,0.5177178382873535,-0.4952528774738312,0.5349156260490417,0.020623626187443733,0.026354238390922546,0.004938863683491945,-0.002317893086001277,0.0003900084411725402,0.00042531496728770435,-5.18529923283495e-05,-0.0002959012344945222,-1.1429573532950599e-05,11.408384323120117,-0.2742955684661865,0.8819414377212524,0.21870623528957367,3.4536757469177246,-0.07067237794399261,-0.07112888991832733,3.440105676651001,-0.185789093375206,0.25021788477897644,0.03707115352153778,0.04039972648024559,0.0007662555435672402,"tensor(-0.4316, device='cuda:0')","tensor(3.6309, device='cuda:0')","tensor(-0.5295, device='cuda:0')","tensor(-0.4845, device='cuda:0')","tensor(0.0209, device='cuda:0')","tensor(-0.1431, device='cuda:0')","tensor(9.8531e-05, device='cuda:0')",0.23031793534755707,-0.06407799571752548,-0.49717068672180176,-0.012690039351582527,0.07150929421186447,-0.011098235845565796,-2.5926949977874756,-0.034225691109895706,-0.5666677951812744,0.03182842209935188,2.7873611450195312,0.05213094875216484,1.5529783964157104,-0.048588916659355164
80,0.0,0.0,0.0,0.0,-0.2751867473125458,0.41726964712142944,0.26148074865341187,-0.0160805806517601,-0.00946855079382658,-0.005079318303614855,6.484628102043644e-05,-0.0004910887801088393,-3.894194378517568e-05,6.124663195805624e-05,8.636959137220401e-06,-9.457784472033381e-06,9.337885856628418,-0.9029335379600525,-1.8485779762268066,-0.022863619029521942,3.6044363975524902,-1.0006331205368042,-0.7380516529083252,3.6432528495788574,-0.8078248500823975,-0.8933135271072388,-0.016043707728385925,-0.20313981175422668,0.0002903737185988575,"tensor(-0.5452, device='cuda:0')","tensor(3.5405, device='cuda:0')","tensor(-0.6277, device='cuda:0')","tensor(-0.5218, device='cuda:0')","tensor(-0.0095, device='cuda:0')","tensor(-0.1044, device='cuda:0')","tensor(0.0018, device='cuda:0')",0.22605422139167786,-0.10836192220449448,-0.49303317070007324,0.098175548017025,0.07120201736688614,0.0013699515257030725,-2.5926830768585205,-0.004766499623656273,-0.5665444731712341,-0.012373599223792553,2.7927052974700928,0.1090240627527237,1.551414966583252,-0.03654740750789642
85,0.0,0.0,0.0,0.0,0.6820704936981201,-0.860383152961731,0.4163859188556671,0.035787731409072876,0.03337399661540985,0.007549704052507877,-0.0025263174902647734,0.0004768105281982571,0.00046584144001826644,-6.297814979916438e-05,-0.00032257934799417853,-1.1648070540104527e-05,12.285177230834961,1.134605884552002,1.86885666847229,-0.0045728376135230064,3.3805277347564697,0.48344799876213074,0.4827781617641449,3.357468366622925,0.3934002220630646,0.7259259819984436,0.01612834632396698,0.1733800619840622,0.0008313562138937414,"tensor(0.2753, device='cuda:0')","tensor(3.6275, device='cuda:0')","tensor(0.2192, device='cuda:0')","tensor(-0.0756, device='cuda:0')","tensor(-0.0121, device='cuda:0')","tensor(-0.0308, device='cuda:0')","tensor(0.0010, device='cuda:0')",0.2209216058254242,-0.0869789645075798,-0.4920818507671356,0.00734923779964447,0.0711338222026825,-0.006086115725338459,-2.5946552753448486,-0.035148005932569504,-0.5662863254547119,0.016232356429100037,2.796558380126953,0.08668909966945648,1.5484929084777832,-0.061120085418224335
90,0.0,0.0,0.0,0.0,0.3957636058330536,-0.7669576406478882,0.5232264399528503,0.029448460787534714,0.021806320175528526,0.0067875562235713005,-0.0024143278133124113,0.0004699205164797604,0.00044386048102751374,-6.197468610480428e-05,-0.00030837656231597066,-1.0919488886429463e-05,11.422467231750488,1.3568466901779175,0.6185969710350037,-0.1577529013156891,3.5873830318450928,0.5653440952301025,0.5656022429466248,3.563385248184204,0.5368613600730896,0.15152674913406372,-0.04174736142158508,0.06079808250069618,-0.0003373526851646602,"tensor(0.2247, device='cuda:0')","tensor(3.7139, device='cuda:0')","tensor(0.2070, device='cuda:0')","tensor(-0.4201, device='cuda:0')","tensor(-0.0461, device='cuda:0')","tensor(-0.0957, device='cuda:0')","tensor(-7.6180e-05, device='cuda:0')",0.21722441911697388,-0.05953528732061386,-0.4895106256008148,0.07244563847780228,0.07110960781574249,-0.002100148471072316,-2.595019578933716,0.007786265574395657,-0.5666231513023376,-0.033447809517383575,2.8011105060577393,0.09351231902837753,1.5473759174346924,0.0106700100004673
95,0.0,0.0,0.0,0.0,0.6399607062339783,-0.9514734745025635,0.2400006651878357,0.0368642695248127,0.029489420354366302,0.009200816042721272,-0.002151474356651306,0.0002739517658483237,0.00038880997453816235,-3.728600495378487e-05,-0.0002744819794315845,-1.2983387023268733e-05,12.916723251342773,2.8207993507385254,2.307856321334839,-0.3857842981815338,3.3906126022338867,0.8189128041267395,0.9395022988319397,3.3741984367370605,0.880907416343689,0.9627357721328735,0.01181123312562704,0.22941848635673523,0.002564114285632968,"tensor(0.4136, device='cuda:0')","tensor(3.6182, device='cuda:0')","tensor(0.3495, device='cuda:0')","tensor(0.0689, device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(-0.0119, device='cuda:0')","tensor(0.0022, device='cuda:0')",0.21515947580337524,-0.021571047604084015,-0.4886620044708252,-0.02064318209886551,0.0711788758635521,0.0006510186358354986,-2.5955936908721924,-0.01653061993420124,-0.5680830478668213,-0.017766445875167847,2.8026978969573975,0.016880512237548828,1.5477690696716309,0.004607449751347303
100,0.0,0.0,0.0,0.0,-0.06262671947479248,-0.0320473350584507,0.8070122599601746,0.0014757612952962518,0.0024334171321243048,2.7920290449401364e-05,-0.0019208115991204977,0.00027416093507781625,0.00034745203447528183,-3.687456774059683e-05,-0.0002453282359056175,-1.0309765457350295e-05,9.199446678161621,-1.361045002937317,-1.934030532836914,0.2196568101644516,3.7615880966186523,-0.5136301517486572,-0.5133705735206604,3.757148027420044,-0.5611292123794556,-1.0120123624801636,-0.02543867938220501,-0.2523706257343292,0.000934875977691263,"tensor(-0.5972, device='cuda:0')","tensor(3.7185, device='cuda:0')","tensor(-0.6259, device='cuda:0')","tensor(-1.0307, device='cuda:0')","tensor(-0.0345, device='cuda:0')","tensor(-0.2428, device='cuda:0')","tensor(0.0008, device='cuda:0')",0.21537946164608002,0.004647308960556984,-0.48762616515159607,0.09367626160383224,0.07073793560266495,-0.010664879344403744,-2.5950300693511963,0.04329044744372368,-0.5688671469688416,-0.03826558589935303,2.80367374420166,0.04956968128681183,1.5485963821411133,0.04160992428660393
