step,contact_force_x,contact_force_y,contact_force_z,contact_force_magnitude,fs_force_x_raw,fs_force_y_raw,fs_force_z_raw,fs_force_x,fs_force_y,fs_force_z,fs_torque_x_raw,fs_torque_y_raw,fs_torque_z_raw,fs_torque_x,fs_torque_y,fs_torque_z,link_data[link2_force_x_raw],link_data[link2_force_y_raw],link_data[link2_force_z_raw],link_data[link2_torque_x_raw],link_data[link2_torque_y_raw],link_data[link2_torque_z_raw],link_data[link4_force_x_raw],link_data[link4_force_y_raw],link_data[link4_force_z_raw],link_data[link4_torque_x_raw],link_data[link4_torque_y_raw],link_data[link4_torque_z_raw],link_data[link6_force_x_raw],link_data[link6_force_y_raw],link_data[link6_force_z_raw],link_data[link6_torque_x_raw],link_data[link6_torque_y_raw],link_data[link6_torque_z_raw],osc_torque_j1,osc_torque_j2,osc_torque_j3,osc_torque_j4,osc_torque_j5,osc_torque_j6,osc_torque_j7
5,0.0,0.0,0.0,0.0,5.083017826080322,-14.347451210021973,-0.7283778190612793,5.083017826080322,-14.347451210021973,-0.7283778190612793,0.4994526505470276,0.17026343941688538,0.07769594341516495,0.0,0.17026343941688538,0.07769594341516495,35.01411437988281,-9.738950729370117,89.01158142089844,-2.2184178829193115,-29.751266479492188,-0.47312936186790466,-37.419525146484375,2.90073299407959,-86.28811645507812,-31.788288116455078,-12.172141075134277,11.581940650939941,22.486154556274414,2.8069076538085938,-51.40958786010742,3.2450318336486816,4.271799564361572,1.6336889266967773,19.15719223022461,-0.42872780561447144,24.050039291381836,10.745987892150879,-5.900064468383789,1.429728627204895,0.5054702758789062
10,0.0,0.0,0.0,0.0,2.673675775527954,-6.406076431274414,-0.15876953303813934,2.673675775527954,-6.406076431274414,-0.15876953303813934,0.21538518369197845,0.07447493821382523,0.04424960911273956,0.21538518369197845,0.07447493821382523,0.04424960911273956,26.14617919921875,-5.915586471557617,38.65220260620117,-0.6335662007331848,-13.092459678649902,0.9642297029495239,-26.421249389648438,4.3041558265686035,-36.41192626953125,-13.92685317993164,-5.197279930114746,7.86894416809082,16.598682403564453,0.6719259023666382,-21.5593204498291,1.286271095275879,1.7888587713241577,0.859304666519165,9.758243560791016,1.3236945867538452,11.36982536315918,6.993194580078125,-2.3578968048095703,0.6973136067390442,0.554770827293396
15,0.0,0.0,0.0,0.0,1.5494259595870972,-3.9430105686187744,0.196596160531044,1.5494259595870972,-3.9430105686187744,0.196596160531044,0.1303037852048874,0.04143821448087692,0.059407252818346024,0.1303037852048874,0.04143821448087692,0.059407252818346024,21.186626434326172,-1.7513982057571411,18.933984756469727,0.9140808582305908,-7.462752819061279,2.611567974090576,-18.501529693603516,6.932634353637695,-18.979108810424805,-8.242355346679688,-2.708176612854004,4.8565592765808105,11.9453125,-0.6763660907745361,-11.711167335510254,0.7000464797019958,0.8519905805587769,0.46529871225357056,6.678661346435547,2.753906488418579,6.874497890472412,4.574199199676514,-0.7106977701187134,0.44531774520874023,0.4594198763370514
20,0.0,0.0,0.0,0.0,1.0666122436523438,-3.123873710632324,0.31884488463401794,1.0666122436523438,-3.123873710632324,0.31884488463401794,0.1031777635216713,0.031079038977622986,0.0736168920993805,0.1031777635216713,0.031079038977622986,0.0736168920993805,18.058347702026367,0.6873708367347717,14.005465507507324,0.6213343739509583,-5.509574890136719,3.2594165802001953,-14.062695503234863,8.17727279663086,-13.82557201385498,-6.1601786613464355,-1.8135284185409546,3.2622079849243164,9.640802383422852,-1.1911066770553589,-8.018725395202637,0.49828603863716125,0.46329548954963684,0.335907906293869,4.76576042175293,3.3624768257141113,4.90039587020874,2.8877644538879395,-0.3710283637046814,0.27694541215896606,0.16323977708816528
25,0.0,0.0,0.0,0.0,0.5375782251358032,-1.9457929134368896,0.4956310987472534,0.5375782251358032,-1.9457929134368896,0.4956310987472534,0.06530790776014328,0.015877706930041313,0.03492354229092598,0.06530790776014328,0.015877706930041313,0.03492354229092598,14.419235229492188,2.8168094158172607,8.690701484680176,0.22144949436187744,-3.3859286308288574,3.5711610317230225,-9.323065757751465,8.4033842086792,-8.274673461914062,-3.7957470417022705,-1.09820556640625,1.6865154504776,6.387392044067383,-1.9155570268630981,-4.5964460372924805,0.29838094115257263,0.2905985116958618,0.1384703367948532,2.7756965160369873,3.5906293392181396,2.899597644805908,1.431464672088623,-0.1956491470336914,0.10063554346561432,0.0601840615272522
30,0.0,0.0,0.0,0.0,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.0378459095954895,0.008624929934740067,0.020680470392107964,0.0378459095954895,0.008624929934740067,0.020680470392107964,11.649166107177734,4.107442378997803,4.564990043640137,-0.011542300693690777,-1.7034868001937866,3.664868116378784,-5.841822147369385,8.064168930053711,-3.992535352706909,-1.9774724245071411,-0.5877959132194519,0.5872000455856323,3.826517343521118,-2.4219884872436523,-2.473637580871582,0.16464607417583466,0.15189433097839355,-0.023133229464292526,1.2765511274337769,3.67069935798645,1.359688401222229,0.4203290343284607,-0.09867508709430695,-0.04878975450992584,0.04265442118048668
35,0.0,0.0,0.0,0.0,0.0995263159275055,-0.5620999336242676,0.7040274143218994,0.0995263159275055,-0.5620999336242676,0.7040274143218994,0.018697818741202354,0.00569895887747407,0.012955999933183193,0.018697818741202354,0.00569895887747407,0.012955999933183193,9.781078338623047,4.912309169769287,1.5198153257369995,-0.10519593209028244,-0.4803139269351959,3.695777177810669,-3.492797613143921,7.682347297668457,-0.8972529768943787,-0.6846112012863159,-0.2376203089952469,-0.13478435575962067,1.9931844472885132,-2.780299186706543,-1.0809400081634521,0.07476415485143661,0.05985249578952789,-0.1375352442264557,0.21672075986862183,3.6958529949188232,0.24897980690002441,-0.24233661592006683,-0.04470899701118469,-0.15559706091880798,0.030526872724294662
40,0.0,0.0,0.0,0.0,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.0053699142299592495,0.004739577881991863,0.006888524163514376,0.0053699142299592495,0.004739577881991863,0.006888524163514376,8.546231269836426,5.403855323791504,-0.615627646446228,-0.1410101354122162,0.3779304325580597,3.6945958137512207,-1.9534786939620972,7.3529462814331055,1.2570509910583496,0.21055521070957184,-0.0021536622662097216,-0.5956242084503174,0.7272914052009583,-3.021411895751953,-0.15096193552017212,0.013448012992739677,0.00046166917309165,-0.21537244319915771,-0.5215654373168945,3.691586971282959,-0.5297352075576782,-0.66329026222229,-0.012492204084992409,-0.2277463674545288,0.022160779684782028
45,0.0,0.0,0.0,0.0,-0.005203589331358671,0.09891058504581451,0.7965378165245056,-0.005203589331358671,0.09891058504581451,0.7965378165245056,-0.0035703128669410944,0.004873408004641533,0.0032341976184397936,-0.0035703128669410944,0.004873408004641533,0.0032341976184397936,7.757358551025391,5.6923065185546875,-2.0746190547943115,-0.15326638519763947,0.9726535677909851,3.6791231632232666,-0.971426784992218,7.100523948669434,2.7407989501953125,0.827491044998169,0.15759356319904327,-0.8812565207481384,-0.12477593868970871,-3.1667842864990234,0.48103195428848267,-0.02895849011838436,-0.039273522794246674,-0.26468849182128906,-1.0288453102111816,3.6745057106018066,-1.064557433128357,-0.9218534827232361,0.007056023925542831,-0.2759624123573303,0.015418357215821743
50,0.0,0.0,0.0,0.0,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,7.612078666687012,5.7393479347229,-2.0075745582580566,-0.16250275075435638,0.9299507737159729,3.6847479343414307,-0.8234113454818726,7.081878662109375,2.6465985774993896,0.7939010262489319,0.13222764432430267,-0.923133134841919,-0.16441668570041656,-3.1543822288513184,0.3713226914405823,-0.025351624935865402,-0.024296404793858528,-0.25968465209007263,-1.0102288722991943,3.6753032207489014,-1.0343928337097168,-0.9592947959899902,-0.009079830721020699,-0.2684670388698578,0.011400949209928513
