step,contact_force_magnitude,fs_force_x,fs_force_y,fs_force_z,fs_torque_x,fs_torque_y,fs_torque_z,osc_torque_j1,ft_torque_j1,diff_torque_j1,osc_torque_j2,ft_torque_j2,diff_torque_j2,osc_torque_j3,ft_torque_j3,diff_torque_j3,osc_torque_j4,ft_torque_j4,diff_torque_j4,osc_torque_j5,ft_torque_j5,diff_torque_j5,osc_torque_j6,ft_torque_j6,diff_torque_j6,osc_torque_j7,ft_torque_j7,diff_torque_j7
130,615.22998046875,73.2630844116211,-26.538347244262695,568.0635375976562,3.933969259262085,10.098250389099121,0.08413196355104446,17.88465690612793,0.48382464051246643,17.400833129882812,-21.9609375,4.079288482666016,-26.040225982666016,18.126399993896484,-0.09032217413187027,18.21672248840332,9.760315895080566,-1.1547178030014038,10.915033340454102,2.8670454025268555,1.129882574081421,1.7371628284454346,2.9942498207092285,-28.60790252685547,31.60215187072754,0.032016389071941376,-0.33589252829551697,0.36790892481803894
140,7.331388473510742,-0.7348583340644836,-0.2771620452404022,7.338398456573486,-0.029402367770671844,-0.00956327747553587,0.0013441037153825164,-3.549036741256714,-0.5265505313873291,-3.0224862098693848,4.258014678955078,4.0635223388671875,0.19449234008789062,-3.7247111797332764,-0.8157146573066711,-2.90899658203125,-1.4052352905273438,-1.1475309133529663,-0.25770437717437744,-0.09331255406141281,-0.027518684044480324,-0.06579387187957764,-0.9504958987236023,-0.593896210193634,-0.35659968852996826,-0.0003503843618091196,-0.0005235682474449277,0.0001731838856358081
150,9.803545951843262,-0.5369029641151428,-1.5775774717330933,9.809916496276855,0.07672784477472305,0.04295177385210991,-0.003051378997042775,-1.6332333087921143,-0.2519678771495819,-1.38126540184021,4.123921871185303,4.091236114501953,0.03268575668334961,-1.8758106231689453,-0.5576324462890625,-1.3181781768798828,-1.2589771747589111,-1.1770912408828735,-0.0818859338760376,-0.08078937232494354,-0.052496906369924545,-0.028292465955018997,-0.7448925375938416,-0.623729944229126,-0.12116259336471558,-0.00039046129677444696,-0.00017077884695027024,-0.00021968244982417673
160,10.354108810424805,-0.5579218864440918,-1.0111485719680786,10.310956954956055,0.12879548966884613,0.04458779841661453,-0.0009231109288521111,-0.2921190559864044,-0.3167889416217804,0.024669885635375977,4.1307454109191895,4.129240036010742,0.0015053749084472656,-0.5919907689094543,-0.6155549883842468,0.02356421947479248,-1.200042486190796,-1.1939994096755981,-0.006043076515197754,-0.04223642125725746,-0.038465116173028946,-0.0037713050842285156,-0.6595466136932373,-0.6575863361358643,-0.001960277557373047,0.00018330244347453117,-0.0008011257741600275,0.0009844282176345587
170,10.137995719909668,-0.47146075963974,-1.3577440977096558,10.137298583984375,0.0935816764831543,0.03042072243988514,-0.0029579780530184507,-0.7515518665313721,-0.41286659240722656,-0.3386852741241455,4.127920150756836,4.133703708648682,-0.005783557891845703,-1.0163377523422241,-0.6949436664581299,-0.32139408588409424,-1.2014528512954712,-1.194556474685669,-0.006896376609802246,-0.049870770424604416,-0.03977520018815994,-0.010095570236444473,-0.6870964765548706,-0.6645890474319458,-0.022507429122924805,-0.00033335687476210296,-0.0001014139925246127,-0.00023194288951344788
180,10.161920547485352,-0.47928792238235474,-1.0844573974609375,10.141016960144043,0.10070855170488358,0.02248450741171837,0.0004981031524948776,-0.8402825593948364,-0.4647371470928192,-0.3755454123020172,4.140741348266602,4.1246137619018555,0.016127586364746094,-1.102212905883789,-0.742850661277771,-0.35936224460601807,-1.2176626920700073,-1.1980438232421875,-0.019618868827819824,-0.048602864146232605,-0.0420425720512867,-0.006560292094945908,-0.711056113243103,-0.6757481694221497,-0.03530794382095337,0.0007672240608371794,0.0005284784710966051,0.00023874558974057436
190,9.901681900024414,-0.5225196480751038,-0.8983427882194519,9.902983665466309,0.09560389816761017,0.0035394986625760794,-0.0002464023418724537,-0.4397538900375366,-0.45126405358314514,0.01151016354560852,4.166254997253418,4.157444953918457,0.008810043334960938,-0.7142839431762695,-0.7268013954162598,0.012517452239990234,-1.208060383796692,-1.2053215503692627,-0.0027388334274291992,-0.040343012660741806,-0.040179505944252014,-0.00016350671648979187,-0.6863316893577576,-0.6820420026779175,-0.004289686679840088,0.0005561671569012105,0.0002385681145824492,0.00031759904231876135
200,9.968513488769531,-0.5240980982780457,-0.9005287885665894,9.967992782592773,0.09552144259214401,0.004821884445846081,-0.00046612077858299017,-0.4188150465488434,-0.43274953961372375,0.013934493064880371,4.169866561889648,4.175840377807617,-0.00597381591796875,-0.6891034245491028,-0.7043962478637695,0.015292823314666748,-1.2085682153701782,-1.2108409404754639,0.0022727251052856445,-0.040797632187604904,-0.04106764867901802,0.00027001649141311646,-0.6876534819602966,-0.6866641640663147,-0.0009893178939819336,0.0005016915965825319,-0.00024568007211200893,0.0007473716977983713
210,9.947640419006348,-0.531205952167511,-0.8988794684410095,9.947598457336426,0.09356976300477982,0.005047785583883524,-0.0002820220252033323,-0.41328713297843933,-0.4256146252155304,0.012327492237091064,4.176170349121094,4.177267551422119,-0.0010972023010253906,-0.6801406145095825,-0.6932255625724792,0.013084948062896729,-1.2108737230300903,-1.2093805074691772,-0.001493215560913086,-0.04125345125794411,-0.04132479429244995,7.134303450584412e-05,-0.6884199976921082,-0.6866000294685364,-0.0018199682235717773,0.000586305046454072,-0.00047113560140132904,0.001057440647855401
220,10.082664489746094,-0.5092818737030029,-0.8996636867523193,10.082523345947266,0.1071908250451088,0.0053911167196929455,-0.0004901150241494179,-0.4369927644729614,-0.4229404032230377,-0.014052361249923706,4.171236991882324,4.184566974639893,-0.01332998275756836,-0.6987558007240295,-0.6885178685188293,-0.010237932205200195,-1.207316517829895,-1.2120048999786377,0.004688382148742676,-0.04101856052875519,-0.041386500000953674,0.00036793947219848633,-0.6855907440185547,-0.6874143481254578,0.0018236041069030762,0.0005368169513531029,-0.00033002541749738157,0.000866842339746654
230,10.257253646850586,-0.48840659856796265,-0.9459292888641357,10.259450912475586,0.11961877346038818,0.004693972412496805,-0.0007172740297392011,-0.44895032048225403,-0.39532962441444397,-0.05362069606781006,4.164412975311279,4.192164421081543,-0.027751445770263672,-0.7074808478355408,-0.6615782976150513,-0.0459025502204895,-1.204140543937683,-1.2150672674179077,0.01092672348022461,-0.04113602265715599,-0.04160154610872269,0.00046552345156669617,-0.6827475428581238,-0.690307080745697,0.007559537887573242,0.0005463098059408367,-0.0005183112807571888,0.0010646211449056864
240,10.124310493469238,-0.5036259293556213,-0.9208971858024597,10.123004913330078,0.11176864802837372,0.006601257249712944,-3.8806891097920015e-05,-0.45418688654899597,-0.42664703726768494,-0.027539849281311035,4.171360492706299,4.178116321563721,-0.006755828857421875,-0.711909830570221,-0.6884909868240356,-0.023418843746185303,-1.2061282396316528,-1.2091648578643799,0.0030366182327270508,-0.041083138436079025,-0.041302409023046494,0.00021927058696746826,-0.6838688850402832,-0.6853806376457214,0.0015117526054382324,0.0006607125978916883,-0.00010281082359142601,0.0007635233923792839
250,9.926353454589844,-0.531093418598175,-0.9048096537590027,9.926100730895996,0.09275849163532257,0.005842084530740976,0.00021919886057730764,-0.42292845249176025,-0.4416992962360382,0.018770843744277954,4.183173656463623,4.180508613586426,0.0026650428771972656,-0.6833788156509399,-0.701985776424408,0.018606960773468018,-1.2106355428695679,-1.2086853981018066,-0.0019501447677612305,-0.04116020351648331,-0.041054945439100266,-0.00010525807738304138,-0.6876971125602722,-0.6851516366004944,-0.002545475959777832,0.0005719264154322445,0.0002739636693149805,0.00029796274611726403
260,10.116534233093262,-0.5095134377479553,-0.9269211292266846,10.116812705993652,0.10784249007701874,0.006319507956504822,-0.000519496388733387,-0.43212202191352844,-0.4103928208351135,-0.021729201078414917,4.175337791442871,4.187693119049072,-0.012355327606201172,-0.6911565661430359,-0.6735050082206726,-0.01765155792236328,-1.2086703777313232,-1.2120839357376099,0.003413558006286621,-0.04142444208264351,-0.041413236409425735,-1.1205673217773438e-05,-0.6851636171340942,-0.6880128383636475,0.0028492212295532227,0.0006012206431478262,-0.0005677350563928485,0.0011689556995406747
270,10.02599811553955,-0.5237439274787903,-0.9131549596786499,10.026018142700195,0.09902035444974899,0.0062054977752268314,-0.00036553319660015404,-0.41456887125968933,-0.41496461629867554,0.00039574503898620605,4.180499076843262,4.189425468444824,-0.0089263916015625,-0.6753572821617126,-0.6778721809387207,0.0025148987770080566,-1.2103747129440308,-1.2118356227874756,0.0014609098434448242,-0.041286174207925797,-0.04117719084024429,-0.0001089833676815033,-0.6873310804367065,-0.6880750060081482,0.0007439255714416504,0.0005529143381863832,-0.00034363678423687816,0.0008965511224232614
280,10.034597396850586,-0.5198897123336792,-0.9184020757675171,10.034646987915039,0.10180915892124176,0.006901350803673267,4.433307913132012e-05,-0.4265732169151306,-0.42103663086891174,-0.005536586046218872,4.18015193939209,4.1831440925598145,-0.0029921531677246094,-0.6865038871765137,-0.6832059025764465,-0.0032979846000671387,-1.2108153104782104,-1.210172176361084,-0.0006431341171264648,-0.041417066007852554,-0.04107688367366791,-0.0003401823341846466,-0.6860820055007935,-0.6863136291503906,0.00023162364959716797,0.0006108862580731511,-7.596569957968313e-06,0.0006184828234836459
290,9.910743713378906,-0.5378567576408386,-0.9059687852859497,9.910673141479492,0.08909288793802261,0.005782046355307102,-0.00044487029663287103,-0.4040714204311371,-0.42879152297973633,0.024720102548599243,4.186888217926025,4.184354782104492,0.002533435821533203,-0.6664061546325684,-0.6903460025787354,0.023939847946166992,-1.2133036851882935,-1.2097302675247192,-0.0035734176635742188,-0.041388895362615585,-0.04107608273625374,-0.0003128126263618469,-0.6890069842338562,-0.6866137981414795,-0.002393186092376709,0.0005723850335925817,-0.0005534195806831121,0.001125804614275694
300,10.12707233428955,-0.501587986946106,-0.9336427450180054,10.127490997314453,0.11119065433740616,0.00530475378036499,8.669238013681024e-06,-0.4461744427680969,-0.4166100025177002,-0.02956444025039673,4.172633647918701,4.182295322418213,-0.009661674499511719,-0.704473078250885,-0.6799602508544922,-0.024512827396392822,-1.2061516046524048,-1.2100539207458496,0.0039023160934448242,-0.041076287627220154,-0.04149160906672478,0.0004153214395046234,-0.6838521957397461,-0.6859089732170105,0.0020567774772644043,0.0006377131212502718,3.2966272556222975e-05,0.000604746863245964
310,9.906418800354004,-0.5255756378173828,-0.9122837781906128,9.905980110168457,0.08984369784593582,0.002691858448088169,0.00041735038394108415,-0.4136626124382019,-0.43254348635673523,0.018880873918533325,4.184579849243164,4.178894519805908,0.005685329437255859,-0.6754705309867859,-0.6928222179412842,0.01735168695449829,-1.2109659910202026,-1.2093294858932495,-0.001636505126953125,-0.041253313422203064,-0.04167785868048668,0.0004245452582836151,-0.6881902813911438,-0.6850745677947998,-0.003115713596343994,0.000577917555347085,0.0003516042197588831,0.00022631333558820188
320,10.113509178161621,-0.5070059299468994,-0.9535750150680542,10.115167617797852,0.10563280433416367,0.005224502179771662,-2.392030364717357e-05,-0.4352370500564575,-0.4125094711780548,-0.02272757887840271,4.1735992431640625,4.189845561981201,-0.016246318817138672,-0.6947862505912781,-0.6762661337852478,-0.018520116806030273,-1.2069673538208008,-1.2127363681793213,0.005769014358520508,-0.04147336259484291,-0.041715674102306366,0.0002423115074634552,-0.6847184300422668,-0.6882479786872864,0.0035295486450195312,0.0006114342832006514,-4.4161723053548485e-05,0.0006555960280820727
330,10.071125030517578,-0.513632595539093,-0.924506664276123,10.071139335632324,0.10514912754297256,0.0066579594276845455,0.0002839494845829904,-0.4373415410518646,-0.42564108967781067,-0.011700451374053955,4.176784515380859,4.185431957244873,-0.008647441864013672,-0.6969854831695557,-0.6884771585464478,-0.00850832462310791,-1.2091866731643677,-1.2105869054794312,0.0014002323150634766,-0.04153389483690262,-0.041315823793411255,-0.00021807104349136353,-0.6849948763847351,-0.6864082217216492,0.0014133453369140625,0.0005694617284461856,0.0004333183460403234,0.0001361433824058622
340,10.15212631225586,-0.5012269616127014,-0.9271063804626465,10.152055740356445,0.1119658425450325,0.0068812863901257515,-0.000672316993586719,-0.4415980577468872,-0.4102989137172699,-0.03129914402961731,4.17133092880249,4.18779182434082,-0.016460895538330078,-0.7006112933158875,-0.6742234826087952,-0.026387810707092285,-1.2057666778564453,-1.2130869626998901,0.007320284843444824,-0.04113427922129631,-0.041462164372205734,0.00032788515090942383,-0.684102475643158,-0.6876303553581238,0.0035278797149658203,0.0005699635366909206,-0.000501573842484504,0.0010715373791754246
350,9.998311042785645,-0.5152517557144165,-0.9676814675331116,9.987329483032227,0.08711329847574234,0.0006975526921451092,0.0007117190980352461,-0.39586013555526733,-0.4363113343715668,0.04045119881629944,4.182680606842041,4.181741237640381,0.0009393692016601562,-0.6589463353157043,-0.6967966556549072,0.03785032033920288,-1.2109529972076416,-1.210063099861145,-0.000889897346496582,-0.040190208703279495,-0.04174844175577164,0.0015582330524921417,-0.6887773275375366,-0.6862876415252686,-0.0024896860122680664,0.0008461643010377884,-9.434390813112259e-05,0.000940508209168911
360,10.10472583770752,-0.5066423416137695,-0.9115691781044006,10.121296882629395,0.11279164254665375,0.005369869060814381,-0.000964608509093523,-0.43717655539512634,-0.3665238618850708,-0.07065269351005554,4.173705577850342,4.194516658782959,-0.020811080932617188,-0.696827232837677,-0.634337842464447,-0.06248939037322998,-1.2071380615234375,-1.217049241065979,0.009911179542541504,-0.041636474430561066,-0.040904026478528976,-0.0007324479520320892,-0.6847057342529297,-0.6917840838432312,0.007078349590301514,0.0005340297939255834,-0.0007557596545666456,0.001289789448492229
