step,contact_force_x,contact_force_y,contact_force_z,contact_force_magnitude,fs_force_x_raw,fs_force_y_raw,fs_force_z_raw,fs_force_x,fs_force_y,fs_force_z,fs_torque_x_raw,fs_torque_y_raw,fs_torque_z_raw,fs_torque_x,fs_torque_y,fs_torque_z,link_data[link1_force_x_raw],link_data[link1_force_y_raw],link_data[link1_force_z_raw],link_data[link1_torque_x_raw],link_data[link1_torque_y_raw],link_data[link1_torque_z_raw],link_data[link3_force_x_raw],link_data[link3_force_y_raw],link_data[link3_force_z_raw],link_data[link3_torque_x_raw],link_data[link3_torque_y_raw],link_data[link3_torque_z_raw],link_data[link5_force_x_raw],link_data[link5_force_y_raw],link_data[link5_force_z_raw],link_data[link5_torque_x_raw],link_data[link5_torque_y_raw],link_data[link5_torque_z_raw],osc_torque_j1,osc_torque_j2,osc_torque_j3,osc_torque_j4,osc_torque_j5,osc_torque_j6,osc_torque_j7
5,0.0,0.0,0.0,0.0,5.083017826080322,-14.347451210021973,-0.7283778190612793,5.083017826080322,-14.347451210021973,-0.7283778190612793,0.4994526505470276,0.17026343941688538,0.07769594341516495,0.0,0.17026343941688538,0.07769594341516495,24.43504524230957,89.07626342773438,26.864627838134766,-17.66759490966797,-0.40092700719833374,24.042827606201172,38.28855514526367,87.63201141357422,9.719786643981934,25.32842254638672,-12.717073440551758,29.665794372558594,-27.701473236083984,63.86259078979492,-1.139470100402832,-3.341094970703125,-1.869914174079895,-4.443580150604248,19.15719223022461,-0.42872780561447144,24.050039291381836,10.745987892150879,-5.900064468383789,1.429728627204895,0.5054702758789062
10,0.0,0.0,0.0,0.0,2.673675775527954,-6.406076431274414,-0.15876953303813934,2.673675775527954,-6.406076431274414,-0.15876953303813934,0.21538518369197845,0.07447493821382523,0.04424960911273956,0.21538518369197845,0.07447493821382523,0.04424960911273956,19.293088912963867,38.70060729980469,18.58049964904785,-7.288497447967529,1.0144990682601929,10.898980140686035,29.750905990600586,35.889076232910156,5.90006685256958,10.697870254516602,-8.567848205566406,13.040606498718262,-21.237550735473633,25.67278289794922,1.270308494567871,-1.3115395307540894,-1.0618042945861816,-1.8712341785430908,9.758243560791016,1.3236945867538452,11.36982536315918,6.993194580078125,-2.3578968048095703,0.6973136067390442,0.554770827293396
15,0.0,0.0,0.0,0.0,1.5494259595870972,-3.9430105686187744,0.196596160531044,1.5494259595870972,-3.9430105686187744,0.196596160531044,0.1303037852048874,0.04143821448087692,0.059407252818346024,0.1303037852048874,0.04143821448087692,0.059407252818346024,17.391162872314453,19.082061767578125,12.111639976501465,-2.87967848777771,2.7636218070983887,6.987954139709473,23.52168846130371,15.894265174865723,1.7308295965194702,6.135714054107666,-5.168212413787842,7.277603626251221,-15.312848091125488,13.51048755645752,3.0331897735595703,-0.8116489052772522,-0.6017919182777405,-0.8323262333869934,6.678661346435547,2.753906488418579,6.874497890472412,4.574199199676514,-0.7106977701187134,0.44531774520874023,0.4594198763370514
20,0.0,0.0,0.0,0.0,1.0666122436523438,-3.123873710632324,0.31884488463401794,1.0666122436523438,-3.123873710632324,0.31884488463401794,0.1031777635216713,0.031079038977622986,0.0736168920993805,0.1031777635216713,0.031079038977622986,0.0736168920993805,16.068790435791016,14.136007308959961,8.126143455505371,-2.066288471221924,3.393794536590576,5.18418550491333,19.9480037689209,11.072997093200684,-0.7056349515914917,4.482201099395752,-3.355604410171509,5.3450775146484375,-12.02479362487793,9.212210655212402,3.8965821266174316,-0.583129346370697,-0.40892910957336426,-0.4098546504974365,4.76576042175293,3.3624768257141113,4.90039587020874,2.8877644538879395,-0.3710283637046814,0.27694541215896606,0.16323977708816528
25,0.0,0.0,0.0,0.0,0.5375782251358032,-1.9457929134368896,0.4956310987472534,0.5375782251358032,-1.9457929134368896,0.4956310987472534,0.06530790776014328,0.015877706930041313,0.03492354229092598,0.06530790776014328,0.015877706930041313,0.03492354229092598,14.009634971618652,8.782113075256348,4.260615348815918,-1.3529306650161743,3.6654305458068848,3.138314962387085,15.575051307678223,6.258312225341797,-2.831077814102173,2.6713571548461914,-1.5760737657546997,3.269927740097046,-7.658069610595703,5.270495891571045,4.3119988441467285,-0.37728843092918396,-0.1546398103237152,-0.2181122750043869,2.7756965160369873,3.5906293392181396,2.899597644805908,1.431464672088623,-0.1956491470336914,0.10063554346561432,0.0601840615272522
30,0.0,0.0,0.0,0.0,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.0378459095954895,0.008624929934740067,0.020680470392107964,0.0378459095954895,0.008624929934740067,0.020680470392107964,12.212869644165039,4.620883464813232,1.6416099071502686,-0.7631974816322327,3.7226293087005615,1.5378361940383911,12.178505897521973,2.5937232971191406,-4.118412971496582,1.3352762460708618,-0.3469982445240021,1.6330509185791016,-4.1134724617004395,2.7051947116851807,4.343445777893066,-0.20853720605373383,0.03596282750368118,-0.11305604875087738,1.2765511274337769,3.67069935798645,1.359688401222229,0.4203290343284607,-0.09867508709430695,-0.04878975450992584,0.04265442118048668
35,0.0,0.0,0.0,0.0,0.0995263159275055,-0.5620999336242676,0.7040274143218994,0.0995263159275055,-0.5620999336242676,0.7040274143218994,0.018697818741202354,0.00569895887747407,0.012955999933183193,0.018697818741202354,0.00569895887747407,0.012955999933183193,10.927833557128906,1.5517632961273193,-0.06404042989015579,-0.2947544753551483,3.7284770011901855,0.3988124430179596,9.833333969116211,-0.11178930848836899,-4.921079635620117,0.4118366241455078,0.4580325484275818,0.44007471203804016,-1.574596881866455,1.0036468505859375,4.27046012878418,-0.09248529374599457,0.16849879920482635,-0.052589818835258484,0.21672075986862183,3.6958529949188232,0.24897980690002441,-0.24233661592006683,-0.04470899701118469,-0.15559706091880798,0.030526872724294662
40,0.0,0.0,0.0,0.0,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.0053699142299592495,0.004739577881991863,0.006888524163514376,0.0053699142299592495,0.004739577881991863,0.006888524163514376,10.036050796508789,-0.6001214981079102,-1.163360834121704,0.042882245033979416,3.710315465927124,-0.39437365531921387,8.265701293945312,-2.0073535442352295,-5.411131858825684,-0.21572986245155334,0.9709428548812866,-0.39681702852249146,0.16853491961956024,-0.13746662437915802,4.17488956451416,-0.01312750019133091,0.2575664520263672,-0.01771075278520584,-0.5215654373168945,3.691586971282959,-0.5297352075576782,-0.66329026222229,-0.012492204084992409,-0.2277463674545288,0.022160779684782028
45,0.0,0.0,0.0,0.0,-0.005203589331358671,0.09891058504581451,0.7965378165245056,-0.005203589331358671,0.09891058504581451,0.7965378165245056,-0.0035703128669410944,0.004873408004641533,0.0032341976184397936,-0.0035703128669410944,0.004873408004641533,0.0032341976184397936,9.434040069580078,-2.0712974071502686,-1.8584907054901123,0.27584755420684814,3.681234121322632,-0.9437840580940247,7.256316184997559,-3.3117125034332275,-5.698583126068115,-0.6425348520278931,1.2856396436691284,-0.978854238986969,1.3426926136016846,-0.9154585003852844,4.089965343475342,0.041931573301553726,0.3164712190628052,0.004025510512292385,-1.0288453102111816,3.6745057106018066,-1.064557433128357,-0.9218534827232361,0.007056023925542831,-0.2759624123573303,0.015418357215821743
50,0.0,0.0,0.0,0.0,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,9.307414054870605,-2.0048718452453613,-2.0492336750030518,0.2405029684305191,3.6868577003479004,-0.9117476940155029,7.1344828605651855,-3.194580316543579,-5.745553493499756,-0.6249256730079651,1.3330442905426025,-0.9331948757171631,1.414698600769043,-0.7837570905685425,4.066402912139893,0.03619558736681938,0.3096254765987396,-0.014544470235705376,-1.0102288722991943,3.6753032207489014,-1.0343928337097168,-0.9592947959899902,-0.009079830721020699,-0.2684670388698578,0.011400949209928513
