step,contact_force_x,contact_force_y,contact_force_z,contact_force_magnitude,link_data[link2_force_x_raw],link_data[link2_force_y_raw],link_data[link2_force_z_raw],link_data[link2_torque_x_raw],link_data[link2_torque_y_raw],link_data[link2_torque_z_raw]
5,0.0,0.0,0.0,0.0,35.01411437988281,-9.738950729370117,89.01158142089844,-2.2184178829193115,-29.751266479492188,-0.47312936186790466
10,0.0,0.0,0.0,0.0,26.14617919921875,-5.915586471557617,38.65220260620117,-0.6335662007331848,-13.092459678649902,0.9642297029495239
15,0.0,0.0,0.0,0.0,21.186626434326172,-1.7513982057571411,18.933984756469727,0.9140808582305908,-7.462752819061279,2.611567974090576
20,0.0,0.0,0.0,0.0,18.058347702026367,0.6873708367347717,14.005465507507324,0.6213343739509583,-5.509574890136719,3.2594165802001953
25,0.0,0.0,0.0,0.0,14.419235229492188,2.8168094158172607,8.690701484680176,0.22144949436187744,-3.3859286308288574,3.5711610317230225
30,0.0,0.0,0.0,0.0,11.649166107177734,4.107442378997803,4.564990043640137,-0.011542300693690777,-1.7034868001937866,3.664868116378784
35,0.0,0.0,0.0,0.0,9.781078338623047,4.912309169769287,1.5198153257369995,-0.10519593209028244,-0.4803139269351959,3.695777177810669
40,0.0,0.0,0.0,0.0,8.546231269836426,5.403855323791504,-0.615627646446228,-0.1410101354122162,0.3779304325580597,3.6945958137512207
45,0.0,0.0,0.0,0.0,7.757358551025391,5.6923065185546875,-2.0746190547943115,-0.15326638519763947,0.9726535677909851,3.6791231632232666
50,0.0,0.0,0.0,0.0,7.612078666687012,5.7393479347229,-2.0075745582580566,-0.16250275075435638,0.9299507737159729,3.6847479343414307
55,0.0,0.0,0.0,0.0,7.2279839515686035,5.840281963348389,-2.793497323989868,-0.1682123988866806,1.2734065055847168,3.645117998123169
60,0.0,0.0,0.0,0.0,7.126572132110596,5.841981887817383,-2.934011459350586,-0.18048107624053955,1.3606247901916504,3.6194496154785156
65,0.0,0.0,0.0,0.0,7.163562774658203,5.782533645629883,-2.7771763801574707,-0.19443823397159576,1.32504141330719,3.5888917446136475
70,0.0,0.0,0.0,0.0,7.276726722717285,5.707882881164551,-2.432764768600464,-0.2148999571800232,1.2203038930892944,3.5646986961364746
75,0.0,0.0,0.0,0.0,7.42055606842041,5.633453369140625,-1.9717997312545776,-0.2431199997663498,1.0678735971450806,3.5387258529663086
80,0.0,0.0,0.0,0.0,7.577759742736816,5.570541858673096,-1.4477338790893555,-0.2765122354030609,0.8941375613212585,3.50827956199646
85,0.0,0.0,0.0,0.0,7.8478617668151855,5.523946285247803,-0.5661848783493042,-0.3267146348953247,0.5710307955741882,3.4718267917633057
90,0.0,0.0,0.0,0.0,8.214164733886719,5.5234694480896,0.6667675375938416,-0.3967667818069458,0.07916640490293503,3.4478461742401123
95,0.0,0.0,0.0,0.0,8.048547744750977,5.704098224639893,-0.38679400086402893,-0.3029410243034363,0.4932098686695099,3.3612828254699707
