step,contact_force_x,contact_force_y,contact_force_z,contact_force_magnitude,fs_force_x_raw,fs_force_y_raw,fs_force_z_raw,fs_force_x,fs_force_y,fs_force_z,fs_torque_x_raw,fs_torque_y_raw,fs_torque_z_raw,fs_torque_x,fs_torque_y,fs_torque_z,link_data[joint2_force_x_raw],link_data[joint2_force_y_raw],link_data[joint2_force_z_raw],link_data[joint2_torque_x_raw],link_data[joint2_torque_y_raw],link_data[joint2_torque_z_raw],link_data[joint4_force_x_raw],link_data[joint4_force_y_raw],link_data[joint4_force_z_raw],link_data[joint4_torque_x_raw],link_data[joint4_torque_y_raw],link_data[joint4_torque_z_raw],link_data[joint6_force_x_raw],link_data[joint6_force_y_raw],link_data[joint6_force_z_raw],link_data[joint6_torque_x_raw],link_data[joint6_torque_y_raw],link_data[joint6_torque_z_raw],osc_torque_j1,osc_torque_j2,osc_torque_j3,osc_torque_j4,osc_torque_j5,osc_torque_j6,osc_torque_j7,joint_pos_j1,joint_vel_j1,joint_pos_j2,joint_vel_j2,joint_pos_j3,joint_vel_j3,joint_pos_j4,joint_vel_j4,joint_pos_j5,joint_vel_j5,joint_pos_j6,joint_vel_j6,joint_pos_j7,joint_vel_j7
5,0.0,0.0,0.0,0.0,5.083017826080322,-14.347451210021973,-0.7283778190612793,5.083017826080322,-14.347451210021973,-0.7283778190612793,0.4994526505470276,0.17026343941688538,0.07769594341516495,0.0,0.17026343941688538,0.07769594341516495,24.43504524230957,89.07626342773438,26.864627838134766,-17.66759490966797,-0.40092700719833374,24.042827606201172,38.28855514526367,87.63201141357422,9.719786643981934,25.32842254638672,-12.717073440551758,29.665794372558594,-27.701473236083984,63.86259078979492,-1.139470100402832,-3.341094970703125,-1.869914174079895,-4.443580150604248,19.15719223022461,-0.42872780561447144,24.050039291381836,10.745987892150879,-5.900064468383789,1.429728627204895,0.5054702758789062,0.026041284203529358,0.5984241962432861,-0.560580849647522,0.2799728512763977,0.038785938173532486,1.2494165897369385,-2.7892098426818848,0.6891303062438965,-0.08985105901956558,-2.2302167415618896,3.039557933807373,-0.09980357438325882,0.8449997305870056,2.594705820083618
10,0.0,0.0,0.0,0.0,2.673675775527954,-6.406076431274414,-0.15876953303813934,2.673675775527954,-6.406076431274414,-0.15876953303813934,0.21538518369197845,0.07447493821382523,0.04424960911273956,0.21538518369197845,0.07447493821382523,0.04424960911273956,19.293088912963867,38.70060729980469,18.58049964904785,-7.288497447967529,1.0144990682601929,10.898980140686035,29.750905990600586,35.889076232910156,5.90006685256958,10.697870254516602,-8.567848205566406,13.040606498718262,-21.237550735473633,25.67278289794922,1.270308494567871,-1.3115395307540894,-1.0618042945861816,-1.8712341785430908,9.758243560791016,1.3236945867538452,11.36982536315918,6.993194580078125,-2.3578968048095703,0.6973136067390442,0.554770827293396,0.04422302544116974,0.2767432928085327,-0.5433073043823242,0.3736414611339569,0.09994936734437943,1.1021437644958496,-2.745331287384033,0.9555795192718506,-0.20240135490894318,-2.2675559520721436,3.016167402267456,-0.685544490814209,0.9744898676872253,2.585432767868042
15,0.0,0.0,0.0,0.0,1.5494259595870972,-3.9430105686187744,0.196596160531044,1.5494259595870972,-3.9430105686187744,0.196596160531044,0.1303037852048874,0.04143821448087692,0.059407252818346024,0.1303037852048874,0.04143821448087692,0.059407252818346024,17.391162872314453,19.082061767578125,12.111639976501465,-2.87967848777771,2.7636218070983887,6.987954139709473,23.52168846130371,15.894265174865723,1.7308295965194702,6.135714054107666,-5.168212413787842,7.277603626251221,-15.312848091125488,13.51048755645752,3.0331897735595703,-0.8116489052772522,-0.6017919182777405,-0.8323262333869934,6.678661346435547,2.753906488418579,6.874497890472412,4.574199199676514,-0.7106977701187134,0.44531774520874023,0.4594198763370514,0.05899070203304291,0.3337864279747009,-0.5236883163452148,0.3963399827480316,0.13983294367790222,0.5852181315422058,-2.6974949836730957,0.9148402810096741,-0.31449180841445923,-2.1075901985168457,2.972835063934326,-0.9142220616340637,1.1038742065429688,2.5886127948760986
20,0.0,0.0,0.0,0.0,1.0666122436523438,-3.123873710632324,0.31884488463401794,1.0666122436523438,-3.123873710632324,0.31884488463401794,0.1031777635216713,0.031079038977622986,0.0736168920993805,0.1031777635216713,0.031079038977622986,0.0736168920993805,16.068790435791016,14.136007308959961,8.126143455505371,-2.066288471221924,3.393794536590576,5.18418550491333,19.9480037689209,11.072997093200684,-0.7056349515914917,4.482201099395752,-3.355604410171509,5.3450775146484375,-12.02479362487793,9.212210655212402,3.8965821266174316,-0.583129346370697,-0.40892910957336426,-0.4098546504974365,4.76576042175293,3.3624768257141113,4.90039587020874,2.8877644538879395,-0.3710283637046814,0.27694541215896606,0.16323977708816528,0.07767652720212936,0.3808255195617676,-0.5044393539428711,0.37247827649116516,0.15808093547821045,0.25071731209754944,-2.6578824520111084,0.7079687118530273,-0.3980352580547333,-1.4202792644500732,2.931736707687378,-0.7466039657592773,1.2335376739501953,2.5929172039031982
25,0.0,0.0,0.0,0.0,0.5375782251358032,-1.9457929134368896,0.4956310987472534,0.5375782251358032,-1.9457929134368896,0.4956310987472534,0.06530790776014328,0.015877706930041313,0.03492354229092598,0.06530790776014328,0.015877706930041313,0.03492354229092598,14.009634971618652,8.782113075256348,4.260615348815918,-1.3529306650161743,3.6654305458068848,3.138314962387085,15.575051307678223,6.258312225341797,-2.831077814102173,2.6713571548461914,-1.5760737657546997,3.269927740097046,-7.658069610595703,5.270495891571045,4.3119988441467285,-0.37728843092918396,-0.1546398103237152,-0.2181122750043869,2.7756965160369873,3.5906293392181396,2.899597644805908,1.431464672088623,-0.1956491470336914,0.10063554346561432,0.0601840615272522,0.09544330090284348,0.32889190316200256,-0.48714789748191833,0.3266296982765198,0.16551713645458221,0.09815505146980286,-2.6286466121673584,0.5057781338691711,-0.45230793952941895,-0.8728250861167908,2.9005634784698486,-0.537792444229126,1.3451497554779053,1.8916734457015991
30,0.0,0.0,0.0,0.0,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.0378459095954895,0.008624929934740067,0.020680470392107964,0.0378459095954895,0.008624929934740067,0.020680470392107964,12.212869644165039,4.620883464813232,1.6416099071502686,-0.7631974816322327,3.7226293087005615,1.5378361940383911,12.178505897521973,2.5937232971191406,-4.118412971496582,1.3352762460708618,-0.3469982445240021,1.6330509185791016,-4.1134724617004395,2.7051947116851807,4.343445777893066,-0.20853720605373383,0.03596282750368118,-0.11305604875087738,1.2765511274337769,3.67069935798645,1.359688401222229,0.4203290343284607,-0.09867508709430695,-0.04878975450992584,0.04265442118048668,0.1091800108551979,0.2380184680223465,-0.4722805619239807,0.27855929732322693,0.16812801361083984,0.027549415826797485,-2.608325481414795,0.3470692038536072,-0.48509612679481506,-0.5404859185218811,2.879671096801758,-0.34453755617141724,1.4184011220932007,1.22088623046875
35,0.0,0.0,0.0,0.0,0.0995263159275055,-0.5620999336242676,0.7040274143218994,0.0995263159275055,-0.5620999336242676,0.7040274143218994,0.018697818741202354,0.00569895887747407,0.012955999933183193,0.018697818741202354,0.00569895887747407,0.012955999933183193,10.927833557128906,1.5517632961273193,-0.06404042989015579,-0.2947544753551483,3.7284770011901855,0.3988124430179596,9.833333969116211,-0.11178930848836899,-4.921079635620117,0.4118366241455078,0.4580325484275818,0.44007471203804016,-1.574596881866455,1.0036468505859375,4.27046012878418,-0.09248529374599457,0.16849879920482635,-0.052589818835258484,0.21672075986862183,3.6958529949188232,0.24897980690002441,-0.24233661592006683,-0.04470899701118469,-0.15559706091880798,0.030526872724294662,0.11856129765510559,0.15647779405117035,-0.4595755636692047,0.2391892820596695,0.16820096969604492,-0.013436631299555302,-2.594489574432373,0.23534761369228363,-0.5066035389900208,-0.3714369535446167,2.8669745922088623,-0.1998927742242813,1.466408133506775,0.8106533885002136
40,0.0,0.0,0.0,0.0,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.0053699142299592495,0.004739577881991863,0.006888524163514376,0.0053699142299592495,0.004739577881991863,0.006888524163514376,10.036050796508789,-0.6001214981079102,-1.163360834121704,0.042882245033979416,3.710315465927124,-0.39437365531921387,8.265701293945312,-2.0073535442352295,-5.411131858825684,-0.21572986245155334,0.9709428548812866,-0.39681702852249146,0.16853491961956024,-0.13746662437915802,4.17488956451416,-0.01312750019133091,0.2575664520263672,-0.01771075278520584,-0.5215654373168945,3.691586971282959,-0.5297352075576782,-0.66329026222229,-0.012492204084992409,-0.2277463674545288,0.022160779684782028,0.12443248927593231,0.09385783970355988,-0.4485277235507965,0.2101004719734192,0.1666860580444336,-0.0400918610394001,-2.5851244926452637,0.15926596522331238,-0.5223218202590942,-0.28377532958984375,2.8602325916290283,-0.09613574296236038,1.4987761974334717,0.5517222881317139
45,0.0,0.0,0.0,0.0,-0.005203589331358671,0.09891058504581451,0.7965378165245056,-0.005203589331358671,0.09891058504581451,0.7965378165245056,-0.0035703128669410944,0.004873408004641533,0.0032341976184397936,-0.0035703128669410944,0.004873408004641533,0.0032341976184397936,9.434040069580078,-2.0712974071502686,-1.8584907054901123,0.27584755420684814,3.681234121322632,-0.9437840580940247,7.256316184997559,-3.3117125034332275,-5.698583126068115,-0.6425348520278931,1.2856396436691284,-0.978854238986969,1.3426926136016846,-0.9154585003852844,4.089965343475342,0.041931573301553726,0.3164712190628052,0.004025510512292385,-1.0288453102111816,3.6745057106018066,-1.064557433128357,-0.9218534827232361,0.007056023925542831,-0.2759624123573303,0.015418357215821743,0.1276831030845642,0.04768054187297821,-0.4386630654335022,0.18980816006660461,0.16412174701690674,-0.0577668659389019,-2.578765869140625,0.1085478886961937,-0.5349954962730408,-0.2371983379125595,2.857736349105835,-0.022045468911528587,1.521222710609436,0.3877112865447998
50,0.0,0.0,0.0,0.0,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,9.307414054870605,-2.0048718452453613,-2.0492336750030518,0.2405029684305191,3.6868577003479004,-0.9117476940155029,7.1344828605651855,-3.194580316543579,-5.745553493499756,-0.6249256730079651,1.3330442905426025,-0.9331948757171631,1.414698600769043,-0.7837570905685425,4.066402912139893,0.03619558736681938,0.3096254765987396,-0.014544470235705376,-1.0102288722991943,3.6753032207489014,-1.0343928337097168,-0.9592947959899902,-0.009079830721020699,-0.2684670388698578,0.011400949209928513,0.12932147085666656,0.026054050773382187,-0.42939236760139465,0.18542726337909698,0.16098196804523468,-0.06550460308790207,-2.5740835666656494,0.08746065944433212,-0.5467147827148438,-0.23790431022644043,2.858097791671753,0.02247464656829834,1.538090467453003,0.31456053256988525
55,0.0,0.0,0.0,0.0,-0.012485969811677933,0.23580989241600037,0.8015221357345581,-0.012485969811677933,0.23580989241600037,0.8015221357345581,-0.008124289102852345,0.006013813428580761,-0.0007583239930681884,-0.008124289102852345,0.006013813428580761,-0.0007583239930681884,8.98206615447998,-2.799410343170166,-2.386143445968628,0.36321452260017395,3.6382675170898438,-1.2339434623718262,6.644444942474365,-3.8900294303894043,-5.845719814300537,-0.8639798164367676,1.4558545351028442,-1.2653001546859741,2.02712345123291,-1.2517871856689453,3.9881887435913086,0.07009896636009216,0.33366864919662476,-0.002368632471188903,-1.2630996704101562,3.6392292976379395,-1.2906537055969238,-1.0432775020599365,-0.0015600845217704773,-0.282245010137558,0.005756088066846132,0.13000458478927612,0.005111894104629755,-0.419910192489624,0.19393707811832428,0.15738962590694427,-0.07618165761232376,-2.5701067447662354,0.07535471767187119,-0.5588364601135254,-0.2472793608903885,2.860366106033325,0.061278846114873886,1.5525842905044556,0.27090466022491455
60,0.0,0.0,0.0,0.0,-0.005058118607848883,0.2720620930194855,0.7975044846534729,-0.005058118607848883,0.2720620930194855,0.7975044846534729,-0.009207100607454777,0.006657133344560862,-0.001808129483833909,-0.009207100607454777,0.006657133344560862,-0.001808129483833909,8.865161895751953,-2.944646120071411,-2.5198025703430176,0.3722941279411316,3.6072347164154053,-1.324623703956604,6.538393497467041,-3.9928650856018066,-5.84702205657959,-0.9243391752243042,1.4691674709320068,-1.3478187322616577,2.1852188110351562,-1.361495852470398,3.9534835815429688,0.07994015514850616,0.33708932995796204,0.00032335208379663527,-1.3283228874206543,3.6113109588623047,-1.3443728685379028,-1.0403250455856323,0.0001128949224948883,-0.2811647653579712,0.005038212053477764,0.1296379417181015,-0.015438796952366829,-0.40967312455177307,0.21336865425109863,0.15328319370746613,-0.08582445979118347,-2.566474437713623,0.07210149616003036,-0.5718604922294617,-0.27124857902526855,2.8646440505981445,0.1015130952000618,1.565136194229126,0.2406805008649826
