playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.121 0.554701 0.0197591 0.62483 0.554708 0.00361453 0.624832 -0.0338332 -0.00142612 0.0395729 -1.57297 0.00389141 1.57724 0.031612
11.122 0.554701 0.0197591 0.62483 0.554708 0.00376577 0.624832 -0.0361915 -0.00142167 0.0422022 -1.57297 0.0038904 1.57724 0.0316326
11.123 0.554701 0.0197591 0.62483 0.554709 0.00391786 0.624833 -0.0386363 -0.00141704 0.0449194 -1.57296 0.00388929 1.57724 0.0316529
11.124 0.554701 0.0197591 0.62483 0.554709 0.00407073 0.624833 -0.0411672 -0.00141222 0.0477242 -1.57295 0.00388808 1.57724 0.0316729
11.125 0.554701 0.0197591 0.62483 0.55471 0.00422427 0.624833 -0.043784 -0.00140723 0.050616 -1.57295 0.00388678 1.57724 0.0316926
11.126 0.554701 0.0197591 0.62483 0.55471 0.0043784 0.624833 -0.0464865 -0.00140205 0.0535946 -1.57294 0.00388538 1.57724 0.031712
11.127 0.554701 0.0197591 0.62483 0.554711 0.00453303 0.624833 -0.0492742 -0.0013967 0.0566592 -1.57294 0.00388389 1.57724 0.0317312
11.128 0.554701 0.0197591 0.62483 0.554712 0.00468809 0.624833 -0.0521468 -0.00139117 0.0598095 -1.57293 0.0038823 1.57724 0.03175
11.129 0.554701 0.0197591 0.62483 0.554712 0.00484349 0.624834 -0.0551037 -0.00138547 0.0630447 -1.57292 0.00388063 1.57724 0.0317686
11.13 0.554701 0.0197591 0.62483 0.554713 0.00499916 0.624834 -0.0581445 -0.00137959 0.0663641 -1.57291 0.00387886 1.57724 0.0317868
11.131 0.554701 0.0197591 0.62483 0.554713 0.00515502 0.624834 -0.0612684 -0.00137355 0.0697671 -1.57291 0.003877 1.57724 0.0318049
11.132 0.554701 0.0197591 0.62483 0.554714 0.00531101 0.624834 -0.0644748 -0.00136734 0.0732528 -1.5729 0.00387506 1.57724 0.0318226
11.133 0.554701 0.0197591 0.62483 0.554715 0.00546704 0.624834 -0.0677631 -0.00136097 0.0768205 -1.57289 0.00387304 1.57724 0.0318401
11.134 0.554701 0.0197591 0.62483 0.554715 0.00562306 0.624834 -0.0711325 -0.00135444 0.0804691 -1.57288 0.00387093 1.57725 0.0318573
