playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.08 0.3 -0.012 0.52 -0.0198149 -0.000810848 0.826938 -7.7177e-05 -1.0548 -0.00109027 -1.59075 -0.00271093 0.546999 0.0199997
11.081 0.3 -0.012 0.52 -0.0197117 -0.000815223 0.826772 -5.06487e-05 -1.05506 -0.0010906 -1.59156 -0.00273936 0.547135 0.020149
11.082 0.3 -0.012 0.52 -0.0196074 -0.000819673 0.826604 -2.34866e-05 -1.05532 -0.00109098 -1.59238 -0.00276812 0.547274 0.020301
11.083 0.3 -0.012 0.52 -0.0195021 -0.000824197 0.826434 4.29068e-06 -1.05558 -0.00109143 -1.5932 -0.00279719 0.547417 0.0204555
11.084 0.3 -0.012 0.52 -0.0193957 -0.000828794 0.826262 3.26641e-05 -1.05585 -0.00109195 -1.59404 -0.00282655 0.547564 0.0206125
11.085 0.3 -0.012 0.52 -0.0192884 -0.000833465 0.826088 6.16142e-05 -1.05612 -0.00109254 -1.59489 -0.00285619 0.547714 0.0207717
11.086 0.3 -0.012 0.52 -0.01918 -0.000838208 0.825913 9.11215e-05 -1.05639 -0.00109321 -1.59574 -0.00288611 0.547868 0.0209332
11.087 0.3 -0.012 0.52 -0.0190708 -0.000843024 0.825736 0.000121166 -1.05667 -0.00109397 -1.5966 -0.00291627 0.548025 0.0210968
11.088 0.3 -0.012 0.52 -0.0189607 -0.000847912 0.825557 0.000151728 -1.05695 -0.00109481 -1.59747 -0.00294667 0.548186 0.0212624
11.089 0.3 -0.012 0.52 -0.0188497 -0.000852872 0.825377 0.000182787 -1.05723 -0.00109575 -1.59835 -0.00297729 0.548351 0.0214298
11.09 0.3 -0.012 0.52 -0.0187379 -0.000857903 0.825195 0.000214322 -1.05752 -0.00109678 -1.59924 -0.00300812 0.548519 0.021599
11.091 0.3 -0.012 0.52 -0.0186254 -0.000863005 0.825012 0.000246314 -1.05781 -0.00109792 -1.60013 -0.00303916 0.548691 0.0217698
11.092 0.3 -0.012 0.52 -0.0185121 -0.000868178 0.824827 0.000278742 -1.0581 -0.00109917 -1.60103 -0.00307037 0.548866 0.0219421
11.093 0.3 -0.012 0.52 -0.018398 -0.00087342 0.824641 0.000311586 -1.05839 -0.00110053 -1.60194 -0.00310176 0.549045 0.0221158
11.094 0.3 -0.012 0.52 -0.0182833 -0.000878733 0.824454 0.000344826 -1.05869 -0.001102 -1.60285 -0.0031333 0.549227 0.0222909
11.095 0.3 -0.012 0.52 -0.0181678 -0.000884115 0.824265 0.00037844 -1.05899 -0.0011036 -1.60377 -0.003165 0.549413 0.0224671
11.096 0.3 -0.012 0.52 -0.0180518 -0.000889566 0.824075 0.00041241 -1.0593 -0.00110532 -1.6047 -0.00319683 0.549602 0.0226444
11.097 0.3 -0.012 0.52 -0.0179351 -0.000895086 0.823884 0.000446715 -1.05961 -0.00110716 -1.60563 -0.00322879 0.549795 0.0228226
11.098 0.3 -0.012 0.52 -0.0178178 -0.000900674 0.823692 0.000481336 -1.05991 -0.00110914 -1.60657 -0.00326086 0.549991 0.0230017
11.099 0.3 -0.012 0.52 -0.0177 -0.00090633 0.823498 0.000516252 -1.06023 -0.00111125 -1.60752 -0.00329304 0.550191 0.0231816
11.1 0.3 -0.012 0.52 -0.0175816 -0.000912053 0.823303 0.000551444 -1.06054 -0.0011135 -1.60847 -0.00332532 0.550394 0.0233621
11.101 0.3 -0.012 0.52 -0.0174627 -0.000917842 0.823108 0.000586894 -1.06086 -0.00111589 -1.60942 -0.00335768 0.550601 0.0235431
11.102 0.3 -0.012 0.52 -0.0173433 -0.000923698 0.822911 0.000622581 -1.06118 -0.00111843 -1.61038 -0.00339012 0.550811 0.0237245
11.103 0.3 -0.012 0.52 -0.0172234 -0.00092962 0.822713 0.000658487 -1.0615 -0.00112111 -1.61135 -0.00342262 0.551025 0.0239063
11.104 0.3 -0.012 0.52 -0.017103 -0.000935608 0.822515 0.000694594 -1.06182 -0.00112394 -1.61232 -0.00345519 0.551242 0.0240882
11.105 0.3 -0.012 0.52 -0.0169822 -0.00094166 0.822315 0.000730883 -1.06215 -0.00112692 -1.6133 -0.0034878 0.551462 0.0242703
11.106 0.3 -0.012 0.52 -0.016861 -0.000947776 0.822115 0.000767337 -1.06248 -0.00113005 -1.61428 -0.00352046 0.551686 0.0244525
11.107 0.3 -0.012 0.52 -0.0167394 -0.000953956 0.821913 0.000803937 -1.06281 -0.00113334 -1.61526 -0.00355316 0.551913 0.0246345
