playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
8.688 0.554701 -0.000241902 0.62483 0.554701 -0.000241902 0.62483 9.9457e-05 -0.001482 -0.00128335 -1.57304 0.00390266 1.57724 0.0289546
8.689 0.554701 -0.000241868 0.62483 0.554701 -0.000241882 0.62483 9.94534e-05 -0.00148196 -0.00128322 -1.57304 0.00390219 1.57724 0.0289882
8.69 0.554701 -0.000241768 0.62483 0.554701 -0.000241862 0.62483 9.94519e-05 -0.00148191 -0.0012831 -1.57304 0.00390173 1.57724 0.0290215
8.691 0.554701 -0.000241602 0.62483 0.554701 -0.000241837 0.62483 9.94536e-05 -0.00148187 -0.00128297 -1.57304 0.00390127 1.57724 0.0290544
8.692 0.554701 -0.000241369 0.62483 0.554701 -0.000241805 0.62483 9.94576e-05 -0.00148183 -0.00128283 -1.57304 0.00390082 1.57724 0.029087
8.693 0.554701 -0.000241069 0.62483 0.554701 -0.000241765 0.62483 9.94612e-05 -0.00148178 -0.00128267 -1.57304 0.00390038 1.57724 0.0291193
8.694 0.554701 -0.000240703 0.62483 0.554701 -0.000241714 0.62483 9.94599e-05 -0.00148174 -0.0012825 -1.57304 0.00389994 1.57724 0.0291513
8.695 0.554701 -0.000240271 0.62483 0.554701 -0.000241649 0.62483 9.94476e-05 -0.00148169 -0.00128228 -1.57304 0.00389951 1.57724 0.0291829
8.696 0.554701 -0.000239772 0.62483 0.554701 -0.000241568 0.62483 9.94164e-05 -0.00148165 -0.00128203 -1.57304 0.00389909 1.57724 0.0292142
8.697 0.554701 -0.000239207 0.62483 0.554701 -0.000241469 0.62483 9.93568e-05 -0.00148161 -0.00128171 -1.57304 0.00389867 1.57724 0.0292452
8.698 0.554701 -0.000238576 0.62483 0.554701 -0.00024135 0.62483 9.9258e-05 -0.00148156 -0.00128132 -1.57304 0.00389826 1.57724 0.029276
8.699 0.554701 -0.000237878 0.62483 0.554701 -0.000241209 0.62483 9.91074e-05 -0.00148152 -0.00128084 -1.57304 0.00389785 1.57724 0.0293064
8.7 0.554701 -0.000237115 0.62483 0.554701 -0.000241044 0.62483 9.88913e-05 -0.00148148 -0.00128025 -1.57304 0.00389745 1.57724 0.0293365
8.701 0.554701 -0.000236285 0.62483 0.554701 -0.000240853 0.62483 9.85943e-05 -0.00148144 -0.00127953 -1.57304 0.00389706 1.57724 0.0293663
