playtime target_pos_ee(x) target_pos_ee(y) target_pos_ee(z) current_pos_ee(x) current_pos_ee(y) current_pos_ee(z) target_pos_link4(x) target_pos_link4(y) target_pos_link4(z) current_pos_link4(x) current_pos_link4(y) current_pos_link4(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
8.064 0.35 0.28 0.7 0.554666 7.06345e-07 0.623791 0 -0.15 0.5 0.0827259 8.44838e-07 0.648941  5.80121e-05  0.000463603  5.84971e-05     -1.57134 -2.77133e-06      1.57048     0.785395
8.065 0.35 0.28 0.7 0.554667 1.34336e-06 0.623786 0 -0.15 0.5 0.0827271 9.39176e-07 0.648941 6.21742e-05 0.000455371 6.27051e-05    -1.57135 3.77651e-07     1.57047    0.785395
8.066 0.35 0.28 0.7 0.554668 2.02796e-06 0.623781 0 -0.15 0.5 0.0827282 1.04011e-06 0.64894 6.64783e-05 0.000446853 6.70578e-05    -1.57135 3.66131e-06     1.57047    0.785395
8.067 0.35 0.28 0.7 0.554668 2.76157e-06 0.623777 0 -0.15 0.5 0.0827293 1.14784e-06 0.64894 7.09243e-05 0.000438051 7.15549e-05    -1.57136 7.08035e-06     1.57046    0.785395
8.068 0.35 0.28 0.7 0.554669 3.54559e-06 0.623772 0 -0.15 0.5 0.0827304 1.26255e-06 0.64894 7.55119e-05 0.000428964 7.61965e-05    -1.57136 1.06355e-05     1.57045    0.785395
8.069 0.35 0.28 0.7 0.55467 4.38141e-06 0.623768 0 -0.15 0.5 0.0827314 1.38443e-06 0.64894  8.0241e-05 0.000419592 8.09822e-05    -1.57137 1.43275e-05     1.57044    0.785395
8.07 0.35 0.28 0.7 0.55467 5.27039e-06 0.623763 0 -0.15 0.5 0.0827323 1.51367e-06 0.648939 8.51115e-05 0.000409936 8.59122e-05    -1.57138  1.8157e-05     1.57043    0.785395
8.071 0.35 0.28 0.7 0.554671 6.21389e-06 0.623759 0 -0.15 0.5 0.0827332 1.65046e-06 0.648939  9.0123e-05 0.000399994 9.09861e-05    -1.57138 2.21248e-05     1.57042    0.785395
8.072 0.35 0.28 0.7 0.554671 7.21323e-06 0.623755 0 -0.15 0.5 0.0827341 1.79498e-06 0.648939 9.52756e-05 0.000389768 9.62038e-05    -1.57139 2.62315e-05     1.57042    0.785395
8.073 0.35 0.28 0.7 0.554672 8.26974e-06 0.62375 0 -0.15 0.5 0.0827349 1.94741e-06 0.648939 0.000100569 0.000379257 0.000101565     -1.5714  3.0478e-05     1.57041    0.785395
