playtime target_pos_ee(x) target_pos_ee(y) target_pos_ee(z) current_pos_ee(x) current_pos_ee(y) current_pos_ee(z) target_pos_link4(x) target_pos_link4(y) target_pos_link4(z) current_pos_link4(x) current_pos_link4(y) current_pos_link4(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
9.982 0.35 0.28 0.7 0.554646 -4.24493e-06 0.623918 0 -0.15 0.5 0.0826822 -1.16875e-09 0.648952  3.48629e-10  0.000576661  -1.4516e-08     -1.57134 -3.95961e-05      1.57071     0.785398
9.983 0.35 0.28 0.7 0.554646 -4.27109e-06 0.623914 0 -0.15 0.5 0.0826832 -1.32101e-10 0.648952 2.18118e-07 0.000576316 2.09815e-07    -1.57134 -3.9567e-05     1.57071    0.785398
9.984 0.35 0.28 0.7 0.554648 -4.30112e-06 0.623909 0 -0.15 0.5 0.0826848 1.13154e-09 0.648952  5.68697e-07  0.000575798  5.67806e-07     -1.57134 -3.93687e-05      1.57071     0.785398
9.985 0.35 0.28 0.7 0.554649 -4.3316e-06 0.623903 0 -0.15 0.5 0.0826866 2.54095e-09 0.648951  1.04874e-06  0.000575105  1.05599e-06     -1.57134 -3.89656e-05      1.57071     0.785398
9.986 0.35 0.28 0.7 0.554651 -4.35941e-06 0.623897 0 -0.15 0.5 0.0826885 4.35912e-09 0.648951  1.65684e-06  0.000574235  1.67346e-06     -1.57134 -3.83459e-05      1.57071     0.785398
9.987 0.35 0.28 0.7 0.554652 -4.3816e-06 0.623891 0 -0.15 0.5 0.0826904 6.9196e-09 0.64895 2.39217e-06 0.000573185 2.41981e-06    -1.57134 -3.7504e-05     1.57071    0.785398
9.988 0.35 0.28 0.7 0.554654 -4.39561e-06 0.623884 0 -0.15 0.5 0.0826923 1.05377e-08 0.64895  3.25415e-06  0.000571956  3.29482e-06     -1.57134 -3.64361e-05       1.5707     0.785398
9.989 0.35 0.28 0.7 0.554655 -4.3992e-06 0.623878 0 -0.15 0.5 0.0826942 1.54964e-08 0.648949  4.24234e-06  0.000570546  4.29831e-06     -1.57134 -3.51398e-05       1.5707     0.785398
9.99 0.35 0.28 0.7 0.554657 -4.39038e-06 0.623872 0 -0.15 0.5 0.0826961 2.20525e-08 0.648949 5.35638e-06 0.000568957  5.4301e-06    -1.57134 -3.3613e-05      1.5707    0.785398
9.991 0.35 0.28 0.7 0.554658 -4.36728e-06 0.623866 0 -0.15 0.5 0.082698 3.0445e-08 0.648948  6.59593e-06  0.000567188  6.69003e-06     -1.57134 -3.18538e-05      1.57069     0.785398
9.992 0.35 0.28 0.7 0.55466 -4.32814e-06 0.62386 0 -0.15 0.5 0.0826998 4.09016e-08 0.648948   7.9607e-06   0.00056524  8.07792e-06     -1.57134 -2.98605e-05      1.57069     0.785398
9.993 0.35 0.28 0.7 0.554661 -4.27125e-06 0.623854 0 -0.15 0.5 0.0827016 5.3642e-08 0.648947  9.45037e-06  0.000563113   9.5936e-06     -1.57134 -2.76314e-05      1.57069     0.785398
9.994 0.35 0.28 0.7 0.554662 -4.19494e-06 0.623848 0 -0.15 0.5 0.0827034 6.8881e-08 0.648947  1.10646e-05  0.000560807  1.12369e-05     -1.57134 -2.51647e-05      1.57068     0.785398
9.995 0.35 0.28 0.7 0.554664 -4.09756e-06 0.623842 0 -0.15 0.5 0.0827051 8.68288e-08 0.648946  1.28032e-05  0.000558322  1.30076e-05     -1.57134 -2.24588e-05      1.57068     0.785398
9.996 0.35 0.28 0.7 0.554665 -3.97751e-06 0.623837 0 -0.15 0.5 0.0827069 1.07693e-07 0.648946 1.46658e-05  0.00055566 1.49056e-05    -1.57135 -1.9512e-05     1.57067    0.785398
9.997 0.35 0.28 0.7 0.554666 -3.83318e-06 0.623831 0 -0.15 0.5 0.0827086 1.31676e-07 0.648945  1.66522e-05  0.000552819  1.69307e-05     -1.57135 -1.63226e-05      1.57066     0.785398
9.998 0.35 0.28 0.7 0.554668 -3.66301e-06 0.623825 0 -0.15 0.5 0.0827102 1.5898e-07 0.648945  1.8762e-05 0.000549801 1.90826e-05    -1.57135 -1.2889e-05     1.57066    0.785398
9.999 0.35 0.28 0.7 0.554669 -3.46543e-06 0.62382 0 -0.15 0.5 0.0827119 1.89804e-07 0.648945  2.09949e-05  0.000546606  2.13612e-05     -1.57135 -9.20952e-06      1.57065     0.785398
10 0.35 0.28 0.7 0.55467 -3.23891e-06 0.623814 0 -0.15 0.5 0.0827135 2.24341e-07 0.648944  2.33507e-05  0.000543234  2.37664e-05     -1.57135 -5.28241e-06      1.57064     0.785398
10.001 0.35 0.28 0.7 0.554671 -2.98192e-06 0.623809 0 -0.15 0.5 0.0827151 2.62786e-07 0.648944   2.5829e-05  0.000539686  2.62979e-05     -1.57135 -1.10605e-06      1.57063     0.785398
10.002 0.35 0.28 0.7 0.554672 -2.69298e-06 0.623804 0 -0.15 0.5 0.0827166 3.05327e-07 0.648943 2.84297e-05 0.000535961 2.89556e-05    -1.57135 3.32122e-06     1.57063    0.785398
10.003 0.35 0.28 0.7 0.554674 -2.3706e-06 0.623798 0 -0.15 0.5 0.0827182 3.52154e-07 0.648943 3.11523e-05 0.000532061 3.17392e-05    -1.57135 8.00108e-06     1.57062    0.785398
10.004 0.35 0.28 0.7 0.554675 -2.01331e-06 0.623793 0 -0.15 0.5 0.0827196 4.0345e-07 0.648943 3.39967e-05 0.000527984 3.46486e-05    -1.57135 1.29352e-05     1.57061    0.785398
10.005 0.35 0.28 0.7 0.554676 -1.61966e-06 0.623788 0 -0.15 0.5 0.0827211 4.59397e-07 0.648942 3.69625e-05 0.000523733 3.76836e-05    -1.57135 1.81252e-05      1.5706    0.785398
10.006 0.35 0.28 0.7 0.554677 -1.18824e-06 0.623783 0 -0.15 0.5 0.0827225 5.20177e-07 0.648942 4.00495e-05 0.000519306  4.0844e-05    -1.57135 2.35727e-05     1.57059    0.785398
10.007 0.35 0.28 0.7 0.554678 -7.17619e-07 0.623778 0 -0.15 0.5 0.0827239 5.85966e-07 0.648941 4.32574e-05 0.000514705 4.41295e-05    -1.57135 2.92795e-05     1.57058    0.785398
10.008 0.35 0.28 0.7 0.554679 -2.06409e-07 0.623773 0 -0.15 0.5 0.0827253 6.56939e-07 0.648941 4.65858e-05 0.000509929 4.75401e-05    -1.57136 3.52472e-05     1.57057    0.785398
10.009 0.35 0.28 0.7 0.554679 3.46769e-07 0.623768 0 -0.15 0.5 0.0827266 7.33268e-07 0.648941 5.00346e-05  0.00050498 5.10755e-05    -1.57136 4.14774e-05     1.57055    0.785398
10.01 0.35 0.28 0.7 0.55468 9.43276e-07 0.623764 0 -0.15 0.5 0.0827279 8.15124e-07 0.64894 5.36034e-05 0.000499856 5.47355e-05    -1.57136 4.79718e-05     1.57054    0.785398
10.011 0.35 0.28 0.7 0.554681 1.58446e-06 0.623759 0 -0.15 0.5 0.0827292 9.02674e-07 0.64894  5.7292e-05 0.000494559 5.85199e-05    -1.57136 5.47321e-05     1.57053    0.785398
10.012 0.35 0.28 0.7 0.554682 2.27165e-06 0.623754 0 -0.15 0.5 0.0827305 9.96083e-07 0.64894 6.11001e-05 0.000489089 6.24285e-05    -1.57136 6.17598e-05     1.57052    0.785398
10.013 0.35 0.28 0.7 0.554683 3.00615e-06 0.62375 0 -0.15 0.5 0.0827317 1.09552e-06 0.648939 6.50275e-05 0.000483447 6.64612e-05    -1.57136 6.90567e-05      1.5705    0.785398
10.014 0.35 0.28 0.7 0.554683 3.78927e-06 0.623745 0 -0.15 0.5 0.0827328 1.20113e-06 0.648939 6.90738e-05 0.000477632 7.06176e-05    -1.57136 7.66244e-05     1.57049    0.785398
10.015 0.35 0.28 0.7 0.554684 4.62229e-06 0.623741 0 -0.15 0.5 0.082734 1.31309e-06 0.648939 7.32387e-05 0.000471644 7.48977e-05    -1.57136 8.44645e-05     1.57047    0.785398
10.016 0.35 0.28 0.7 0.554685 5.50646e-06 0.623737 0 -0.15 0.5 0.0827351 1.43154e-06 0.648939 7.75221e-05 0.000465485 7.93012e-05    -1.57136 9.25787e-05     1.57046    0.785398
10.017 0.35 0.28 0.7 0.554685 6.44305e-06 0.623732 0 -0.15 0.5 0.0827361 1.55665e-06 0.648938 8.19237e-05 0.000459154 8.38278e-05    -1.57137 0.000100969     1.57044    0.785398
10.018 0.35 0.28 0.7 0.554686 7.43329e-06 0.623728 0 -0.15 0.5 0.0827372 1.68856e-06 0.648938 8.64431e-05 0.000452652 8.84775e-05    -1.57137 0.000109636     1.57043    0.785398
10.019 0.35 0.28 0.7 0.554686 8.4784e-06 0.623724 0 -0.15 0.5 0.0827382 1.82742e-06 0.648938 9.10801e-05  0.00044598 9.32499e-05    -1.57137 0.000118582     1.57041    0.785398
10.02 0.35 0.28 0.7 0.554687 9.57958e-06 0.62372 0 -0.15 0.5 0.0827392 1.97338e-06 0.648937 9.58346e-05 0.000439136 9.81449e-05    -1.57137 0.000127809      1.5704    0.785398
10.021 0.35 0.28 0.7 0.554687 1.0738e-05 0.623716 0 -0.15 0.5 0.0827401 2.12659e-06 0.648937 0.000100706 0.000432123 0.000103162    -1.57137 0.000137319     1.57038    0.785398
10.022 0.35 0.28 0.7 0.554687 1.19549e-05 0.623712 0 -0.15 0.5 0.082741 2.28719e-06 0.648937 0.000105694 0.000424939 0.000108302    -1.57137 0.000147112     1.57036    0.785398
10.023 0.35 0.28 0.7 0.554688 1.32314e-05 0.623708 0 -0.15 0.5 0.0827419 2.45532e-06 0.648937 0.000110799 0.000417586 0.000113563    -1.57137 0.000157191     1.57034    0.785398
10.024 0.35 0.28 0.7 0.554688 1.45687e-05 0.623704 0 -0.15 0.5 0.0827427 2.63111e-06 0.648937 0.000116021 0.000410063 0.000118946    -1.57137 0.000167557     1.57032    0.785398
10.025 0.35 0.28 0.7 0.554688 1.59678e-05 0.623701 0 -0.15 0.5 0.0827435 2.81471e-06 0.648936 0.000121358 0.000402372 0.000124451    -1.57137 0.000178211      1.5703    0.785398
10.026 0.35 0.28 0.7 0.554688 1.74299e-05 0.623697 0 -0.15 0.5 0.0827442 3.00626e-06 0.648936 0.000126811 0.000394512 0.000130077    -1.57138 0.000189157     1.57029    0.785398
10.027 0.35 0.28 0.7 0.554688 1.89562e-05 0.623693 0 -0.15 0.5 0.082745 3.20587e-06 0.648936  0.00013238 0.000386483 0.000135824    -1.57138 0.000200394     1.57027    0.785398
10.028 0.35 0.28 0.7 0.554688 2.05476e-05 0.62369 0 -0.15 0.5 0.0827456 3.4137e-06 0.648936 0.000138064 0.000378287 0.000141692    -1.57138 0.000211925     1.57024    0.785398
10.029 0.35 0.28 0.7 0.554688 2.22054e-05 0.623686 0 -0.15 0.5 0.0827463 3.62985e-06 0.648936 0.000143863 0.000369923  0.00014768    -1.57138 0.000223752     1.57022    0.785398
10.03 0.35 0.28 0.7 0.554688 2.39305e-05 0.623683 0 -0.15 0.5 0.0827469 3.85447e-06 0.648935 0.000149777 0.000361391 0.000153789    -1.57138 0.000235875      1.5702    0.785398
10.031 0.35 0.28 0.7 0.554688 2.57239e-05 0.62368 0 -0.15 0.5 0.0827475 4.08767e-06 0.648935 0.000155806 0.000352692 0.000160018    -1.57138 0.000248297     1.57018    0.785398
10.032 0.35 0.28 0.7 0.554688 2.75869e-05 0.623676 0 -0.15 0.5 0.082748 4.32958e-06 0.648935 0.000161949 0.000343827 0.000166367    -1.57138 0.000261019     1.57016    0.785398
10.033 0.35 0.28 0.7 0.554688 2.95203e-05 0.623673 0 -0.15 0.5 0.0827485 4.58033e-06 0.648935 0.000168206 0.000334795 0.000172835    -1.57138 0.000274043     1.57013    0.785398
10.034 0.35 0.28 0.7 0.554688 3.15252e-05 0.62367 0 -0.15 0.5 0.082749 4.84002e-06 0.648935 0.000174576 0.000325596 0.000179423    -1.57139 0.000287371     1.57011    0.785398
10.035 0.35 0.28 0.7 0.554687 3.36026e-05 0.623667 0 -0.15 0.5 0.0827494 5.10879e-06 0.648935 0.000181061 0.000316233  0.00018613    -1.57139 0.000301004     1.57009    0.785398
10.036 0.35 0.28 0.7 0.554687 3.57534e-05 0.623664 0 -0.15 0.5 0.0827498 5.38673e-06 0.648935 0.000187659 0.000306703 0.000192956    -1.57139 0.000314943     1.57006    0.785398
10.037 0.35 0.28 0.7 0.554687 3.79787e-05 0.623661 0 -0.15 0.5 0.0827502 5.67398e-06 0.648935  0.00019437 0.000297008 0.000199901    -1.57139 0.000329191     1.57004    0.785398
10.038 0.35 0.28 0.7 0.554686 4.02795e-05 0.623658 0 -0.15 0.5 0.0827505 5.97064e-06 0.648935 0.000201194 0.000287149 0.000206965    -1.57139 0.000343748     1.57001    0.785398
10.039 0.35 0.28 0.7 0.554686 4.26566e-05 0.623655 0 -0.15 0.5 0.0827507 6.27682e-06 0.648934  0.00020813 0.000277125 0.000214147    -1.57139 0.000358617     1.56999    0.785398
10.04 0.35 0.28 0.7 0.554685 4.5111e-05 0.623652 0 -0.15 0.5 0.082751 6.59263e-06 0.648934 0.000215179 0.000266937 0.000221446    -1.57139   0.0003738     1.56996    0.785398
10.041 0.35 0.28 0.7 0.554684 4.76437e-05 0.62365 0 -0.15 0.5 0.0827512 6.91818e-06 0.648934 0.000222341 0.000256584 0.000228864    -1.57139 0.000389297     1.56993    0.785398
10.042 0.35 0.28 0.7 0.554684 5.02555e-05 0.623647 0 -0.15 0.5 0.0827513 7.25358e-06 0.648934 0.000229614 0.000246069 0.000236399     -1.5714  0.00040511      1.5699    0.785398
10.043 0.35 0.28 0.7 0.554683 5.29474e-05 0.623644 0 -0.15 0.5 0.0827515 7.59892e-06 0.648934 0.000236999 0.000235389 0.000244051     -1.5714 0.000421242     1.56988    0.785398
10.044 0.35 0.28 0.7 0.554682 5.57203e-05 0.623642 0 -0.15 0.5 0.0827516 7.95432e-06 0.648934 0.000244496 0.000224547 0.000251821     -1.5714 0.000437693     1.56985    0.785398
10.045 0.35 0.28 0.7 0.554681 5.8575e-05 0.623639 0 -0.15 0.5 0.0827516 8.31986e-06 0.648934 0.000252104 0.000213543 0.000259707     -1.5714 0.000454465     1.56982    0.785398
10.046 0.35 0.28 0.7 0.55468 6.15124e-05 0.623637 0 -0.15 0.5 0.0827516 8.69566e-06 0.648934 0.000259823 0.000202376 0.000267709     -1.5714  0.00047156     1.56979    0.785398
10.047 0.35 0.28 0.7 0.554679 6.45334e-05 0.623635 0 -0.15 0.5 0.0827516 9.08181e-06 0.648934 0.000267653 0.000191046 0.000275828     -1.5714 0.000488979     1.56976    0.785398
10.048 0.35 0.28 0.7 0.554678 6.76389e-05 0.623633 0 -0.15 0.5 0.0827515 9.47839e-06 0.648934 0.000275594 0.000179556 0.000284063     -1.5714 0.000506725     1.56973    0.785398
10.049 0.35 0.28 0.7 0.554677 7.08296e-05 0.62363 0 -0.15 0.5 0.0827514 9.88552e-06 0.648934 0.000283645 0.000167903 0.000292414     -1.5714 0.000524798      1.5697    0.785398
10.05 0.35 0.28 0.7 0.554676 7.41065e-05 0.623628 0 -0.15 0.5 0.0827512 1.03033e-05 0.648934 0.000291807  0.00015609  0.00030088    -1.57141   0.0005432     1.56967    0.785398
10.051 0.35 0.28 0.7 0.554675 7.74702e-05 0.623626 0 -0.15 0.5 0.082751 1.07318e-05 0.648934 0.000300079 0.000144116 0.000309462    -1.57141 0.000561933     1.56963    0.785398
