playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
23.165 -0.523583 -0.523583 0 5.65462 -9.88364e-08 8.05487e-06 -4.65338e-06 -0.523583 8.88224e-06 1.57079 -0.00200638
23.166 -0.523584 -0.523584 -2.16686e-08 5.65108 -1.00384e-07 7.93101e-06 -4.67145e-06 -0.523584 8.96114e-06 1.57079 -0.00200628
23.167 -0.523584 -0.523584 -3.84093e-07 5.64764 -1.02233e-07 7.80529e-06 -4.68814e-06 -0.523584 9.03272e-06 1.57079 -0.00200619
23.168 -0.523585 -0.523584 -1.07441e-06 5.64429 -1.04409e-07 7.67206e-06 -4.70379e-06 -0.523584 9.09742e-06 1.57079 -0.00200611
23.169 -0.523586 -0.523584 -2.08029e-06 5.64104 -1.06944e-07 7.5259e-06 -4.7187e-06 -0.523584 9.15563e-06 1.57079 -0.00200603
23.17 -0.523588 -0.523584 -3.38988e-06 5.63787 -1.09877e-07 7.36164e-06 -4.73314e-06 -0.523584 9.20774e-06 1.57079 -0.00200597
23.171 -0.52359 -0.523585 -4.99182e-06 5.63479 -1.1325e-07 7.17435e-06 -4.74737e-06 -0.523585 9.25411e-06 1.57079 -0.00200591
23.172 -0.523592 -0.523585 -6.87518e-06 5.63179 -1.1711e-07 6.95928e-06 -4.76161e-06 -0.523585 9.29509e-06 1.57079 -0.00200586
23.173 -0.523595 -0.523586 -9.02951e-06 5.62887 -1.21506e-07 6.71192e-06 -4.77607e-06 -0.523586 9.331e-06 1.57079 -0.00200581
23.174 -0.523598 -0.523586 -1.14447e-05 5.62603 -1.26488e-07 6.42796e-06 -4.79095e-06 -0.523586 9.36217e-06 1.57079 -0.00200577
23.175 -0.523601 -0.523587 -1.41112e-05 5.62326 -1.32109e-07 6.10327e-06 -4.80641e-06 -0.523587 9.38888e-06 1.57079 -0.00200573
