playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
42.145 -0.436332 -0.508317 0.0719845 2.32662 0.00025063 0.00961279 0.000315625 -0.508317 -0.000649787 1.56731 -0.00128561
42.146 -0.436332 -0.50783 0.0714978 2.28197 0.000259302 0.00995629 0.000324155 -0.50783 -0.000670443 1.56724 -0.00126838
42.147 -0.436332 -0.507344 0.0710116 2.23977 0.000267972 0.010302 0.000332587 -0.507344 -0.000691065 1.56717 -0.0012513
42.148 -0.436332 -0.506859 0.0705264 2.1999 0.000276635 0.0106498 0.000340918 -0.506859 -0.000711647 1.5671 -0.00123436
42.149 -0.436332 -0.506374 0.0700422 2.16229 0.000285285 0.0109995 0.000349144 -0.506374 -0.000732181 1.56703 -0.00121756
42.15 -0.436332 -0.505892 0.0695593 2.12684 0.000293918 0.0113511 0.000357262 -0.505892 -0.000752661 1.56696 -0.00120091
42.151 -0.436332 -0.50541 0.0690778 2.09347 0.000302527 0.0117045 0.000365271 -0.50541 -0.00077308 1.56689 -0.00118441
42.152 -0.436332 -0.50493 0.068598 2.06209 0.000311108 0.0120595 0.000373167 -0.50493 -0.000793434 1.56682 -0.00116805
42.153 -0.436332 -0.504452 0.0681201 2.03262 0.000319657 0.0124161 0.000380948 -0.504452 -0.000813718 1.56676 -0.00115184
42.154 -0.436332 -0.503976 0.0676442 2.005 0.000328168 0.0127742 0.000388612 -0.503976 -0.000833926 1.56669 -0.00113578
42.155 -0.436332 -0.503503 0.0671704 1.97915 0.000336638 0.0131337 0.000396158 -0.503503 -0.000854053 1.56663 -0.00111986
42.156 -0.436332 -0.503031 0.0666989 1.955 0.000345063 0.0134945 0.000403583 -0.503031 -0.000874097 1.56657 -0.00110409
42.157 -0.436332 -0.502562 0.0662298 1.93249 0.000353438 0.0138565 0.000410886 -0.502562 -0.000894053 1.56651 -0.00108847
42.158 -0.436332 -0.502096 0.0657634 1.91155 0.000361761 0.0142197 0.000418066 -0.502096 -0.000913917 1.56645 -0.00107299
42.159 -0.436332 -0.501632 0.0652996 1.89211 0.000370027 0.014584 0.000425121 -0.501632 -0.000933687 1.56639 -0.00105765
42.16 -0.436332 -0.501171 0.0648386 1.87413 0.000378234 0.0149493 0.00043205 -0.501171 -0.000953359 1.56633 -0.00104246
42.161 -0.436332 -0.500713 0.0643806 1.85755 0.000386378 0.0153156 0.000438853 -0.500713 -0.00097293 1.56627 -0.00102742
42.162 -0.436332 -0.500258 0.0639255 1.84231 0.000394457 0.0156828 0.000445527 -0.500258 -0.000992399 1.56622 -0.00101252
42.163 -0.436332 -0.499806 0.0634736 1.82836 0.000402467 0.0160509 0.000452074 -0.499806 -0.00101176 1.56616 -0.000997754
42.164 -0.436332 -0.499357 0.0630249 1.81565 0.000410405 0.0164198 0.000458491 -0.499357 -0.00103102 1.56611 -0.000983133
42.165 -0.436332 -0.498912 0.0625796 1.80414 0.000418271 0.0167894 0.000464779 -0.498912 -0.00105016 1.56605 -0.000968653
42.166 -0.436332 -0.49847 0.0621376 1.79377 0.00042606 0.0171597 0.000470937 -0.49847 -0.0010692 1.566 -0.000954311
42.167 -0.436332 -0.498031 0.061699 1.78451 0.000433771 0.0175307 0.000476964 -0.498031 -0.00108812 1.56595 -0.000940108
42.168 -0.436332 -0.497596 0.061264 1.77632 0.000441402 0.0179023 0.000482861 -0.497596 -0.00110693 1.5659 -0.000926042
42.169 -0.436332 -0.497165 0.0608326 1.76914 0.000448951 0.0182745 0.000488627 -0.497165 -0.00112562 1.56585 -0.000912112
42.17 -0.436332 -0.496737 0.0604049 1.76295 0.000456415 0.0186472 0.000494262 -0.496737 -0.0011442 1.5658 -0.000898317
42.171 -0.436332 -0.496313 0.0599808 1.75771 0.000463794 0.0190204 0.000499766 -0.496313 -0.00116266 1.56575 -0.000884656
42.172 -0.436332 -0.495893 0.0595605 1.75338 0.000471086 0.0193941 0.000505139 -0.495893 -0.001181 1.5657 -0.000871127
42.173 -0.436332 -0.495476 0.0591441 1.74992 0.000478289 0.0197682 0.000510382 -0.495476 -0.00119923 1.56565 -0.000857731
42.174 -0.436332 -0.495064 0.0587315 1.74731 0.000485401 0.0201427 0.000515493 -0.495064 -0.00121733 1.5656 -0.000844465
42.175 -0.436332 -0.494655 0.0583228 1.74551 0.000492422 0.0205176 0.000520474 -0.494655 -0.00123531 1.56556 -0.000831329
42.176 -0.436332 -0.49425 0.0579181 1.7445 0.000499351 0.0208928 0.000525325 -0.49425 -0.00125317 1.56551 -0.000818322
42.177 -0.436332 -0.49385 0.0575174 1.74423 0.000506186 0.0212684 0.000530047 -0.49385 -0.00127092 1.56547 -0.000805442
42.178 -0.436332 -0.493453 0.0571206 1.74469 0.000512926 0.0216442 0.000534639 -0.493453 -0.00128854 1.56542 -0.000792688
42.179 -0.436332 -0.49306 0.0567279 1.74585 0.000519571 0.0220203 0.000539101 -0.49306 -0.00130604 1.56538 -0.00078006
42.18 -0.436332 -0.492672 0.0563393 1.74768 0.000526119 0.0223967 0.000543436 -0.492672 -0.00132341 1.56533 -0.000767556
42.181 -0.436332 -0.492287 0.0559548 1.75016 0.00053257 0.0227733 0.000547642 -0.492287 -0.00134067 1.56529 -0.000755174
42.182 -0.436332 -0.491907 0.0555743 1.75326 0.000538924 0.0231501 0.000551721 -0.491907 -0.00135781 1.56525 -0.000742915
42.183 -0.436332 -0.49153 0.0551981 1.75696 0.000545179 0.0235271 0.000555673 -0.49153 -0.00137482 1.56521 -0.000730777
42.184 -0.436332 -0.491158 0.0548259 1.76124 0.000551335 0.0239043 0.000559499 -0.491158 -0.00139172 1.56516 -0.000718758
42.185 -0.436332 -0.49079 0.054458 1.76608 0.000557392 0.0242816 0.000563199 -0.49079 -0.00140849 1.56512 -0.000706858
42.186 -0.436332 -0.490426 0.0540942 1.77145 0.000563349 0.0246591 0.000566774 -0.490426 -0.00142515 1.56508 -0.000695075
