playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
15.896 -0.436332 -0.523597 0.0872647 14.3795 -6.91781e-08 6.42084e-09 -6.6348e-06 -0.523597 1.80602e-05 1.57079 -0.00196966
15.897 -0.436332 -0.523564 0.0872317 14.046 9.10523e-08 1.45447e-05 -6.08892e-06 -0.523564 1.85357e-05 1.57078 -0.00196764
15.898 -0.436332 -0.5235 0.0871674 13.7264 4.15599e-07 4.28214e-05 -5.04821e-06 -0.5235 1.94041e-05 1.57077 -0.00196392
15.899 -0.436332 -0.523406 0.0870735 13.4198 9.08822e-07 8.40881e-05 -3.56062e-06 -0.523406 2.05933e-05 1.57075 -0.0019587
15.9 -0.436332 -0.523284 0.0869516 13.1259 1.57312e-06 0.000137629 -1.67051e-06 -0.523284 2.20394e-05 1.57072 -0.00195213
15.901 -0.436332 -0.523135 0.0868031 12.8439 2.40916e-06 0.00020276 5.81017e-07 -0.523135 2.36855e-05 1.5707 -0.00194437
15.902 -0.436332 -0.522962 0.0866295 12.5734 3.41611e-06 0.000278826 3.15594e-06 -0.522962 2.54813e-05 1.57066 -0.00193557
15.903 -0.436332 -0.522764 0.0864321 12.3139 4.59183e-06 0.000365203 6.01901e-06 -0.522764 2.73822e-05 1.57063 -0.00192583
15.904 -0.436332 -0.522545 0.0862123 12.0648 5.93303e-06 0.000461292 9.13758e-06 -0.522545 2.93493e-05 1.57059 -0.00191528
15.905 -0.436332 -0.522303 0.0859711 11.8257 7.43546e-06 0.000566522 1.24814e-05 -0.522303 3.1348e-05 1.57056 -0.001904
15.906 -0.436332 -0.522042 0.08571 11.5962 9.09403e-06 0.000680345 1.60224e-05 -0.522042 3.33484e-05 1.57052 -0.0018921
15.907 -0.436332 -0.521762 0.0854298 11.3759 1.09029e-05 0.000802238 1.97346e-05 -0.521762 3.53242e-05 1.57048 -0.00187965
15.908 -0.436332 -0.521464 0.0851318 11.1643 1.28558e-05 0.000931703 2.3594e-05 -0.521464 3.72529e-05 1.57043 -0.00186672
15.909 -0.436332 -0.521149 0.084817 10.9611 1.49458e-05 0.00106826 2.7578e-05 -0.521149 3.91148e-05 1.57039 -0.00185337
15.91 -0.436332 -0.520819 0.0844863 10.766 1.71657e-05 0.00121145 3.16661e-05 -0.520819 4.08934e-05 1.57035 -0.00183967
15.911 -0.436332 -0.520473 0.0841407 10.5785 1.95079e-05 0.00136084 3.5839e-05 -0.520473 4.25744e-05 1.57031 -0.00182567
15.912 -0.436332 -0.520113 0.083781 10.3984 2.19645e-05 0.00151601 4.00788e-05 -0.520113 4.41459e-05 1.57027 -0.00181141
15.913 -0.436332 -0.51974 0.0834082 10.2253 2.45276e-05 0.00167657 4.43691e-05 -0.51974 4.55981e-05 1.57023 -0.00179693
15.914 -0.436332 -0.519355 0.0830229 10.059 2.71892e-05 0.00184212 4.86945e-05 -0.519355 4.69229e-05 1.57019 -0.00178228
15.915 -0.436332 -0.518958 0.0826261 9.89921 2.9941e-05 0.0020123 5.30409e-05 -0.518958 4.81139e-05 1.57015 -0.00176748
15.916 -0.436332 -0.518551 0.0822185 9.74559 3.2775e-05 0.00218676 5.7395e-05 -0.518551 4.91661e-05 1.57011 -0.00175256
15.917 -0.436332 -0.518133 0.0818006 9.59791 3.56828e-05 0.00236518 6.17447e-05 -0.518133 5.00758e-05 1.57007 -0.00173756
15.918 -0.436332 -0.517706 0.0813734 9.45594 3.86566e-05 0.00254723 6.60788e-05 -0.517706 5.08404e-05 1.57003 -0.0017225
15.919 -0.436332 -0.51727 0.0809373 9.31944 4.16882e-05 0.0027326 7.03868e-05 -0.51727 5.14582e-05 1.57 -0.00170739
15.92 -0.436332 -0.516825 0.0804929 9.18817 4.47698e-05 0.00292101 7.46591e-05 -0.516825 5.19286e-05 1.56996 -0.00169226
15.921 -0.436332 -0.516373 0.080041 9.06193 4.78936e-05 0.00311218 7.88867e-05 -0.516373 5.22517e-05 1.56993 -0.00167712
15.922 -0.436332 -0.515914 0.079582 8.94052 5.10521e-05 0.00330583 8.30615e-05 -0.515914 5.24282e-05 1.5699 -0.001662
15.923 -0.436332 -0.515449 0.0791165 8.82373 5.42377e-05 0.00350173 8.71758e-05 -0.515449 5.24594e-05 1.56987 -0.00164689
15.924 -0.436332 -0.514977 0.078645 8.71137 5.74434e-05 0.00369961 9.12228e-05 -0.514977 5.23472e-05 1.56984 -0.00163182
15.925 -0.436332 -0.5145 0.0781679 8.60327 6.06619e-05 0.00389926 9.51959e-05 -0.5145 5.20939e-05 1.56981 -0.0016168
15.926 -0.436332 -0.514018 0.0776858 8.49926 6.38866e-05 0.00410045 9.90893e-05 -0.514018 5.17021e-05 1.56978 -0.00160183
15.927 -0.436332 -0.513531 0.0771991 8.39916 6.71108e-05 0.00430297 0.000102898 -0.513531 5.11749e-05 1.56976 -0.00158693
15.928 -0.436332 -0.51304 0.0767081 8.30283 7.03281e-05 0.00450663 0.000106616 -0.51304 5.05154e-05 1.56973 -0.00157209
15.929 -0.436332 -0.512546 0.0762134 8.21011 7.35323e-05 0.00471121 0.00011024 -0.512546 4.97272e-05 1.56971 -0.00155734
15.93 -0.436332 -0.512048 0.0757154 8.12085 7.67175e-05 0.00491655 0.000113765 -0.512048 4.8814e-05 1.56969 -0.00154267
15.931 -0.436332 -0.511547 0.0752142 8.03492 7.9878e-05 0.00512247 0.000117188 -0.511547 4.77795e-05 1.56967 -0.00152808
15.932 -0.436332 -0.511043 0.0747104 7.95219 8.30084e-05 0.00532881 0.000120505 -0.511043 4.66277e-05 1.56965 -0.00151359
15.933 -0.436332 -0.510537 0.0742043 7.87252 8.61034e-05 0.0055354 0.000123713 -0.510537 4.53627e-05 1.56963 -0.0014992
15.934 -0.436332 -0.510028 0.0736961 7.79579 8.91579e-05 0.00574209 0.00012681 -0.510028 4.39885e-05 1.56961 -0.00148491
15.935 -0.436332 -0.509518 0.0731862 7.72189 9.21673e-05 0.00594874 0.000129794 -0.509518 4.25092e-05 1.5696 -0.00147072
15.936 -0.436332 -0.509007 0.0726748 7.6507 9.5127e-05 0.00615521 0.000132661 -0.509007 4.0929e-05 1.56958 -0.00145664
15.937 -0.436332 -0.508495 0.0721623 7.58211 9.80326e-05 0.00636137 0.00013541 -0.508495 3.9252e-05 1.56957 -0.00144266
15.938 -0.436332 -0.507981 0.0716489 7.51603 0.00010088 0.0065671 0.00013804 -0.507981 3.74825e-05 1.56955 -0.0014288
15.939 -0.436332 -0.507467 0.0711348 7.45234 0.000103665 0.00677228 0.000140549 -0.507467 3.56243e-05 1.56954 -0.00141504
15.94 -0.436332 -0.506953 0.0706204 7.39097 0.000106385 0.0069768 0.000142937 -0.506953 3.36818e-05 1.56953 -0.0014014
15.941 -0.436332 -0.506438 0.0701057 7.3318 0.000109036 0.00718055 0.000145201 -0.506438 3.16588e-05 1.56952 -0.00138787
15.942 -0.436332 -0.505923 0.0695911 7.27477 0.000111614 0.00738343 0.000147341 -0.505923 2.95593e-05 1.56951 -0.00137446
15.943 -0.436332 -0.505409 0.0690767 7.21977 0.000114117 0.00758535 0.000149357 -0.505409 2.73872e-05 1.56951 -0.00136116
15.944 -0.436332 -0.504895 0.0685627 7.16674 0.000116541 0.0077862 0.000151249 -0.504895 2.51464e-05 1.5695 -0.00134797
15.945 -0.436332 -0.504382 0.0680493 7.11559 0.000118885 0.00798592 0.000153015 -0.504382 2.28406e-05 1.56949 -0.00133491
15.946 -0.436332 -0.503869 0.0675367 7.06625 0.000121145 0.00818441 0.000154656 -0.503869 2.04735e-05 1.56949 -0.00132195
15.947 -0.436332 -0.503357 0.067025 7.01864 0.000123319 0.0083816 0.000156172 -0.503357 1.80486e-05 1.56948 -0.00130911
