playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
20.652 -0.523823 -0.523823 0 5.61455 -8.4902e-06 -4.92996e-05 1.24077e-06 -0.523823 6.41388e-06 1.57119 -0.00204038
20.653 -0.523823 -0.523824 5.51413e-07 5.60409 -8.53525e-06 -5.04709e-05 1.22581e-06 -0.523824 6.25276e-06 1.57119 -0.00204027
20.654 -0.523824 -0.523825 7.43984e-07 5.59393 -8.57886e-06 -5.15998e-05 1.21176e-06 -0.523825 6.09392e-06 1.57119 -0.00204016
20.655 -0.523825 -0.523825 5.8668e-07 5.58405 -8.62104e-06 -5.26852e-05 1.19867e-06 -0.523825 5.93742e-06 1.57119 -0.00204006
20.656 -0.523826 -0.523826 8.82915e-08 5.57446 -8.6618e-06 -5.37259e-05 1.18662e-06 -0.523826 5.78332e-06 1.57119 -0.00203995
20.657 -0.523828 -0.523827 -7.4257e-07 5.56514 -8.70115e-06 -5.47208e-05 1.17564e-06 -0.523827 5.6317e-06 1.57118 -0.00203985
20.658 -0.523829 -0.523828 -1.89747e-06 5.55608 -8.73911e-06 -5.56689e-05 1.16581e-06 -0.523828 5.4826e-06 1.57118 -0.00203975
20.659 -0.523832 -0.523828 -3.36813e-06 5.54729 -8.77567e-06 -5.65693e-05 1.15718e-06 -0.523828 5.33608e-06 1.57118 -0.00203965
20.66 -0.523834 -0.523829 -5.14647e-06 5.53875 -8.81087e-06 -5.74212e-05 1.14979e-06 -0.523829 5.19221e-06 1.57118 -0.00203954
20.661 -0.523837 -0.52383 -7.22453e-06 5.53045 -8.84471e-06 -5.82238e-05 1.14369e-06 -0.52383 5.05104e-06 1.57118 -0.00203945
20.662 -0.523841 -0.523831 -9.59456e-06 5.5224 -8.87721e-06 -5.89765e-05 1.13894e-06 -0.523831 4.91263e-06 1.57118 -0.00203935
20.663 -0.523844 -0.523832 -1.22489e-05 5.51458 -8.90838e-06 -5.96784e-05 1.13557e-06 -0.523832 4.77702e-06 1.57118 -0.00203925
20.664 -0.523848 -0.523833 -1.51802e-05 5.50698 -8.93825e-06 -6.03292e-05 1.13363e-06 -0.523833 4.64427e-06 1.57117 -0.00203915
20.665 -0.523853 -0.523834 -1.8381e-05 5.49962 -8.96683e-06 -6.09282e-05 1.13316e-06 -0.523834 4.51444e-06 1.57117 -0.00203906
20.666 -0.523857 -0.523835 -2.18443e-05 5.49246 -8.99414e-06 -6.14749e-05 1.13419e-06 -0.523835 4.38757e-06 1.57117 -0.00203896
