playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
15.884 -0.436332 -0.512079 0.0757465 9.28914 -1.49818e-05 -0.00222568 -0.000104723 -0.512079 -9.43857e-05 1.57233 -0.00195127
15.885 -0.436332 -0.511605 0.0752731 8.9582 -1.51569e-05 -0.00229552 -0.000108292 -0.511605 -9.90704e-05 1.57239 -0.00195108
15.886 -0.436332 -0.511128 0.0747953 8.6381 -1.53052e-05 -0.00236465 -0.000111863 -0.511128 -0.000103801 1.57246 -0.00195091
15.887 -0.436332 -0.510646 0.0743134 8.32856 -1.54263e-05 -0.00243301 -0.000115433 -0.510646 -0.000108575 1.57252 -0.00195073
15.888 -0.436332 -0.51016 0.0738276 8.02928 -1.55198e-05 -0.00250056 -0.000119 -0.51016 -0.00011339 1.57258 -0.00195057
15.889 -0.436332 -0.50967 0.0733381 7.73998 -1.55853e-05 -0.00256724 -0.000122562 -0.50967 -0.000118242 1.57264 -0.00195041
15.89 -0.436332 -0.509177 0.0728451 7.46038 -1.56224e-05 -0.00263301 -0.000126115 -0.509177 -0.00012313 1.57271 -0.00195026
15.891 -0.436332 -0.508681 0.0723489 7.1902 -1.56308e-05 -0.00269783 -0.000129659 -0.508681 -0.000128051 1.57277 -0.00195011
15.892 -0.436332 -0.508182 0.0718498 6.9292 -1.56103e-05 -0.00276167 -0.00013319 -0.508182 -0.000133003 1.57283 -0.00194997
15.893 -0.436332 -0.50768 0.0713478 6.6771 -1.55606e-05 -0.00282448 -0.000136708 -0.50768 -0.000137983 1.57289 -0.00194984
15.894 -0.436332 -0.507176 0.0708433 6.43367 -1.54816e-05 -0.00288624 -0.000140209 -0.507176 -0.000142988 1.57296 -0.00194972
15.895 -0.436332 -0.506669 0.0703363 6.19866 -1.5373e-05 -0.00294692 -0.000143693 -0.506669 -0.000148018 1.57302 -0.0019496
15.896 -0.436332 -0.50616 0.0698272 5.97182 -1.52347e-05 -0.00300649 -0.000147156 -0.50616 -0.000153068 1.57308 -0.00194949
15.897 -0.436332 -0.505648 0.0693161 5.75294 -1.50668e-05 -0.00306492 -0.000150599 -0.505648 -0.000158138 1.57315 -0.00194938
15.898 -0.436332 -0.505135 0.0688031 5.54178 -1.4869e-05 -0.00312219 -0.000154019 -0.505135 -0.000163224 1.57321 -0.00194929
15.899 -0.436332 -0.504621 0.0682886 5.33813 -1.46414e-05 -0.00317828 -0.000157414 -0.504621 -0.000168325 1.57328 -0.0019492
15.9 -0.436332 -0.504105 0.0677725 5.14178 -1.4384e-05 -0.00323317 -0.000160783 -0.504105 -0.000173439 1.57334 -0.00194912
15.901 -0.436332 -0.503588 0.0672552 4.95251 -1.40968e-05 -0.00328684 -0.000164125 -0.503588 -0.000178564 1.5734 -0.00194904
15.902 -0.436332 -0.503069 0.0667367 4.77012 -1.37798e-05 -0.00333927 -0.000167438 -0.503069 -0.000183698 1.57347 -0.00194897
15.903 -0.436332 -0.50255 0.0662173 4.59441 -1.34332e-05 -0.00339046 -0.000170721 -0.50255 -0.000188838 1.57353 -0.00194891
15.904 -0.436332 -0.502029 0.065697 4.4252 -1.3057e-05 -0.00344039 -0.000173973 -0.502029 -0.000193984 1.57359 -0.00194886
15.905 -0.436332 -0.501508 0.0651761 4.2623 -1.26515e-05 -0.00348905 -0.000177192 -0.501508 -0.000199132 1.57366 -0.00194882
15.906 -0.436332 -0.500987 0.0646547 4.10552 -1.22166e-05 -0.00353644 -0.000180378 -0.500987 -0.000204282 1.57372 -0.00194878
15.907 -0.436332 -0.500465 0.0641329 3.95469 -1.17527e-05 -0.00358253 -0.000183529 -0.500465 -0.000209432 1.57378 -0.00194875
15.908 -0.436332 -0.499943 0.0636108 3.80963 -1.12598e-05 -0.00362734 -0.000186644 -0.499943 -0.000214579 1.57384 -0.00194873
15.909 -0.436332 -0.499421 0.0630887 3.67018 -1.07383e-05 -0.00367084 -0.000189723 -0.499421 -0.000219722 1.57391 -0.00194871
15.91 -0.436332 -0.498899 0.0625666 3.53617 -1.01883e-05 -0.00371305 -0.000192764 -0.498899 -0.00022486 1.57397 -0.0019487
15.911 -0.436332 -0.498377 0.0620446 3.40744 -9.61017e-06 -0.00375396 -0.000195767 -0.498377 -0.000229991 1.57403 -0.0019487
15.912 -0.436332 -0.497855 0.0615229 3.28384 -9.00409e-06 -0.00379356 -0.00019873 -0.497855 -0.000235113 1.57409 -0.00194871
15.913 -0.436332 -0.497334 0.0610016 3.16521 -8.37039e-06 -0.00383186 -0.000201654 -0.497334 -0.000240226 1.57415 -0.00194872
15.914 -0.436332 -0.496813 0.0604808 3.05141 -7.70937e-06 -0.00386886 -0.000204537 -0.496813 -0.000245326 1.57421 -0.00194874
15.915 -0.436332 -0.496293 0.0599606 2.9423 -7.02135e-06 -0.00390456 -0.000207379 -0.496293 -0.000250414 1.57427 -0.00194877
15.916 -0.436332 -0.495773 0.0594412 2.83773 -6.30665e-06 -0.00393897 -0.000210178 -0.495773 -0.000255487 1.57433 -0.0019488
15.917 -0.436332 -0.495255 0.0589225 2.73757 -5.56564e-06 -0.00397208 -0.000212935 -0.495255 -0.000260544 1.57439 -0.00194885
15.918 -0.436332 -0.494737 0.0584049 2.64169 -4.79868e-06 -0.00400391 -0.00021565 -0.494737 -0.000265584 1.57445 -0.00194889
15.919 -0.436332 -0.494221 0.0578882 2.54995 -4.00613e-06 -0.00403446 -0.00021832 -0.494221 -0.000270605 1.57451 -0.00194895
15.92 -0.436332 -0.493705 0.0573727 2.46224 -3.18839e-06 -0.00406373 -0.000220947 -0.493705 -0.000275607 1.57457 -0.00194901
15.921 -0.436332 -0.493191 0.0568584 2.37843 -2.34586e-06 -0.00409174 -0.000223529 -0.493191 -0.000280588 1.57463 -0.00194908
15.922 -0.436332 -0.492678 0.0563454 2.2984 -1.47893e-06 -0.0041185 -0.000226066 -0.492678 -0.000285547 1.57468 -0.00194915
15.923 -0.436332 -0.492166 0.0558338 2.22203 -5.88042e-07 -0.004144 -0.000228558 -0.492166 -0.000290482 1.57474 -0.00194924
15.924 -0.436332 -0.491656 0.0553236 2.14922 3.26391e-07 -0.00416826 -0.000231004 -0.491656 -0.000295393 1.5748 -0.00194932
15.925 -0.436332 -0.491147 0.0548151 2.07986 1.26393e-06 -0.0041913 -0.000233405 -0.491147 -0.000300279 1.57485 -0.00194942
15.926 -0.436332 -0.49064 0.0543081 2.01383 2.22412e-06 -0.00421312 -0.000235759 -0.49064 -0.000305138 1.57491 -0.00194952
15.927 -0.436332 -0.490135 0.0538029 1.95103 3.20653e-06 -0.00423373 -0.000238068 -0.490135 -0.000309969 1.57496 -0.00194963
15.928 -0.436332 -0.489632 0.0532994 1.89137 4.21068e-06 -0.00425314 -0.00024033 -0.489632 -0.000314771 1.57502 -0.00194974
15.929 -0.436332 -0.48913 0.0527978 1.83475 5.2361e-06 -0.00427138 -0.000242545 -0.48913 -0.000319544 1.57507 -0.00194986
15.93 -0.436332 -0.48863 0.0522981 1.78106 6.28234e-06 -0.00428844 -0.000244714 -0.48863 -0.000324287 1.57512 -0.00194998
15.931 -0.436332 -0.488133 0.0518004 1.73022 7.3489e-06 -0.00430435 -0.000246836 -0.488133 -0.000328998 1.57518 -0.00195011
15.932 -0.436332 -0.487637 0.0513047 1.68213 8.4353e-06 -0.00431911 -0.000248911 -0.487637 -0.000333676 1.57523 -0.00195025
15.933 -0.436332 -0.487143 0.0508112 1.63672 9.54106e-06 -0.00433275 -0.000250939 -0.487143 -0.000338322 1.57528 -0.00195039
15.934 -0.436332 -0.486652 0.0503198 1.59388 1.06657e-05 -0.00434527 -0.00025292 -0.486652 -0.000342933 1.57533 -0.00195053
15.935 -0.436332 -0.486163 0.0498306 1.55355 1.18087e-05 -0.00435669 -0.000254854 -0.486163 -0.00034751 1.57538 -0.00195069
15.936 -0.436332 -0.485676 0.0493436 1.51563 1.29695e-05 -0.00436702 -0.000256741 -0.485676 -0.000352051 1.57543 -0.00195084
15.937 -0.436332 -0.485191 0.048859 1.48006 1.41477e-05 -0.00437628 -0.000258582 -0.485191 -0.000356556 1.57548 -0.00195101
15.938 -0.436332 -0.484709 0.0483768 1.44675 1.53428e-05 -0.00438449 -0.000260375 -0.484709 -0.000361024 1.57553 -0.00195117
15.939 -0.436332 -0.484229 0.047897 1.41562 1.65542e-05 -0.00439165 -0.000262122 -0.484229 -0.000365454 1.57558 -0.00195135
15.94 -0.436332 -0.483752 0.0474196 1.38662 1.77815e-05 -0.00439779 -0.000263822 -0.483752 -0.000369846 1.57563 -0.00195152
15.941 -0.436332 -0.483277 0.0469448 1.35966 1.9024e-05 -0.00440293 -0.000265476 -0.483277 -0.000374198 1.57567 -0.00195171
15.942 -0.436332 -0.482805 0.0464725 1.33467 2.02814e-05 -0.00440707 -0.000267084 -0.482805 -0.000378511 1.57572 -0.00195189
15.943 -0.436332 -0.482335 0.0460027 1.3116 2.15531e-05 -0.00441023 -0.000268645 -0.482335 -0.000382784 1.57577 -0.00195208
15.944 -0.436332 -0.481868 0.0455356 1.29038 2.28386e-05 -0.00441244 -0.000270161 -0.481868 -0.000387016 1.57581 -0.00195228
15.945 -0.436332 -0.481404 0.0450712 1.27094 2.41373e-05 -0.0044137 -0.00027163 -0.481404 -0.000391207 1.57585 -0.00195248
15.946 -0.436332 -0.480942 0.0446094 1.25322 2.54488e-05 -0.00441403 -0.000273055 -0.480942 -0.000395356 1.5759 -0.00195269
15.947 -0.436332 -0.480483 0.0441504 1.23717 2.67726e-05 -0.00441346 -0.000274434 -0.480483 -0.000399463 1.57594 -0.00195289
15.948 -0.436332 -0.480026 0.0436941 1.22272 2.8108e-05 -0.00441199 -0.000275767 -0.480026 -0.000403526 1.57598 -0.00195311
15.949 -0.436332 -0.479573 0.0432406 1.20982 2.94547e-05 -0.00440964 -0.000277057 -0.479573 -0.000407547 1.57603 -0.00195332
15.95 -0.436332 -0.479122 0.04279 1.19841 3.08121e-05 -0.00440643 -0.000278301 -0.479122 -0.000411523 1.57607 -0.00195354
15.951 -0.436332 -0.478674 0.0423421 1.18845 3.21797e-05 -0.00440238 -0.000279502 -0.478674 -0.000415456 1.57611 -0.00195377
15.952 -0.436332 -0.478229 0.0418972 1.17988 3.3557e-05 -0.0043975 -0.000280659 -0.478229 -0.000419344 1.57615 -0.00195399
15.953 -0.436332 -0.477787 0.0414551 1.17265 3.49435e-05 -0.00439182 -0.000281772 -0.477787 -0.000423188 1.57619 -0.00195423
15.954 -0.436332 -0.477348 0.0410159 1.16672 3.63387e-05 -0.00438533 -0.000282842 -0.477348 -0.000426986 1.57623 -0.00195446
15.955 -0.436332 -0.476912 0.0405796 1.16202 3.7742e-05 -0.00437808 -0.000283869 -0.476912 -0.000430738 1.57626 -0.0019547
15.956 -0.436332 -0.476479 0.0401463 1.15853 3.91531e-05 -0.00437006 -0.000284853 -0.476479 -0.000434445 1.5763 -0.00195494
15.957 -0.436332 -0.476048 0.039716 1.15619 4.05713e-05 -0.00436129 -0.000285796 -0.476048 -0.000438105 1.57634 -0.00195518
15.958 -0.436332 -0.475621 0.0392887 1.15497 4.19963e-05 -0.0043518 -0.000286696 -0.475621 -0.000441719 1.57637 -0.00195543
15.959 -0.436332 -0.475197 0.0388643 1.15481 4.34274e-05 -0.0043416 -0.000287556 -0.475197 -0.000445287 1.57641 -0.00195568
15.96 -0.436332 -0.474775 0.038443 1.15569 4.48644e-05 -0.00433071 -0.000288374 -0.474775 -0.000448807 1.57644 -0.00195594
15.961 -0.436332 -0.474357 0.0380247 1.15755 4.63065e-05 -0.00431914 -0.000289151 -0.474357 -0.00045228 1.57648 -0.00195619
15.962 -0.436332 -0.473942 0.0376094 1.16036 4.77535e-05 -0.0043069 -0.000289889 -0.473942 -0.000455706 1.57651 -0.00195645
15.963 -0.436332 -0.473529 0.0371972 1.16409 4.92047e-05 -0.00429402 -0.000290586 -0.473529 -0.000459085 1.57654 -0.00195671
15.964 -0.436332 -0.47312 0.036788 1.16869 5.06598e-05 -0.00428052 -0.000291244 -0.47312 -0.000462416 1.57657 -0.00195698
15.965 -0.436332 -0.472714 0.0363819 1.17414 5.21183e-05 -0.00426639 -0.000291863 -0.472714 -0.000465698 1.57661 -0.00195724
15.966 -0.436332 -0.472311 0.0359789 1.1804 5.35797e-05 -0.00425167 -0.000292444 -0.472311 -0.000468933 1.57664 -0.00195751
15.967 -0.436332 -0.471911 0.035579 1.18743 5.50435e-05 -0.00423637 -0.000292986 -0.471911 -0.00047212 1.57667 -0.00195778
15.968 -0.436332 -0.471514 0.0351822 1.1952 5.65094e-05 -0.0042205 -0.000293491 -0.471514 -0.000475259 1.5767 -0.00195806
15.969 -0.436332 -0.471121 0.0347884 1.20369 5.79769e-05 -0.00420408 -0.000293958 -0.471121 -0.000478349 1.57672 -0.00195833
15.97 -0.436332 -0.47073 0.0343978 1.21286 5.94455e-05 -0.00418713 -0.000294389 -0.47073 -0.000481391 1.57675 -0.00195861
15.971 -0.436332 -0.470343 0.0340103 1.22268 6.09148e-05 -0.00416965 -0.000294783 -0.470343 -0.000484384 1.57678 -0.00195889
15.972 -0.436332 -0.469958 0.0336259 1.23312 6.23844e-05 -0.00415167 -0.000295142 -0.469958 -0.000487329 1.57681 -0.00195917
15.973 -0.436332 -0.469577 0.0332445 1.24417 6.38538e-05 -0.0041332 -0.000295465 -0.469577 -0.000490225 1.57683 -0.00195945
15.974 -0.436332 -0.469199 0.0328663 1.25578 6.53227e-05 -0.00411425 -0.000295753 -0.469199 -0.000493072 1.57686 -0.00195974
15.975 -0.436332 -0.468824 0.0324913 1.26793 6.67906e-05 -0.00409484 -0.000296006 -0.468824 -0.000495871 1.57688 -0.00196002
15.976 -0.436332 -0.468452 0.0321193 1.28061 6.82572e-05 -0.00407498 -0.000296226 -0.468452 -0.000498622 1.57691 -0.00196031
15.977 -0.436332 -0.468083 0.0317504 1.29378 6.97219e-05 -0.00405469 -0.000296412 -0.468083 -0.000501324 1.57693 -0.0019606
15.978 -0.436332 -0.467717 0.0313846 1.30742 7.11845e-05 -0.00403398 -0.000296565 -0.467717 -0.000503977 1.57695 -0.00196089
15.979 -0.436332 -0.467354 0.031022 1.32151 7.26446e-05 -0.00401287 -0.000296685 -0.467354 -0.000506581 1.57698 -0.00196118
15.98 -0.436332 -0.466995 0.0306624 1.33603 7.41017e-05 -0.00399136 -0.000296773 -0.466995 -0.000509138 1.577 -0.00196148
15.981 -0.436332 -0.466638 0.0303059 1.35095 7.55555e-05 -0.00396948 -0.000296829 -0.466638 -0.000511645 1.57702 -0.00196177
15.982 -0.436332 -0.466285 0.0299526 1.36626 7.70056e-05 -0.00394723 -0.000296854 -0.466285 -0.000514105 1.57704 -0.00196207
15.983 -0.436332 -0.465935 0.0296023 1.38193 7.84517e-05 -0.00392463 -0.000296849 -0.465935 -0.000516516 1.57706 -0.00196237
15.984 -0.436332 -0.465587 0.0292551 1.39794 7.98934e-05 -0.00390169 -0.000296813 -0.465587 -0.000518878 1.57708 -0.00196266
15.985 -0.436332 -0.465243 0.028911 1.41428 8.13303e-05 -0.00387843 -0.000296747 -0.465243 -0.000521193 1.5771 -0.00196296
15.986 -0.436332 -0.464902 0.0285699 1.43093 8.27622e-05 -0.00385485 -0.000296652 -0.464902 -0.00052346 1.57711 -0.00196326
15.987 -0.436332 -0.464564 0.0282319 1.44787 8.41886e-05 -0.00383098 -0.000296528 -0.464564 -0.000525679 1.57713 -0.00196357
15.988 -0.436332 -0.464229 0.0278969 1.46508 8.56092e-05 -0.00380681 -0.000296376 -0.464229 -0.00052785 1.57715 -0.00196387
15.989 -0.436332 -0.463897 0.027565 1.48254 8.70238e-05 -0.00378237 -0.000296196 -0.463897 -0.000529973 1.57716 -0.00196417
15.99 -0.436332 -0.463568 0.0272362 1.50025 8.84319e-05 -0.00375767 -0.000295988 -0.463568 -0.000532049 1.57718 -0.00196447
15.991 -0.436332 -0.463243 0.0269103 1.51818 8.98334e-05 -0.00373271 -0.000295753 -0.463243 -0.000534078 1.57719 -0.00196478
15.992 -0.436332 -0.46292 0.0265875 1.53632 9.12278e-05 -0.00370751 -0.000295492 -0.46292 -0.000536059 1.57721 -0.00196508
15.993 -0.436332 -0.4626 0.0262677 1.55466 9.26149e-05 -0.00368208 -0.000295205 -0.4626 -0.000537993 1.57722 -0.00196539
15.994 -0.436332 -0.462283 0.0259509 1.57318 9.39944e-05 -0.00365644 -0.000294892 -0.462283 -0.000539881 1.57723 -0.00196569
15.995 -0.436332 -0.461969 0.025637 1.59186 9.5366e-05 -0.00363059 -0.000294554 -0.461969 -0.000541722 1.57725 -0.001966
15.996 -0.436332 -0.461658 0.0253262 1.6107 9.67294e-05 -0.00360454 -0.000294192 -0.461658 -0.000543516 1.57726 -0.0019663
15.997 -0.436332 -0.461351 0.0250183 1.62968 9.80844e-05 -0.0035783 -0.000293805 -0.461351 -0.000545265 1.57727 -0.00196661
15.998 -0.436332 -0.461046 0.0247133 1.64879 9.94306e-05 -0.00355189 -0.000293394 -0.461046 -0.000546967 1.57728 -0.00196692
15.999 -0.436332 -0.460744 0.0244113 1.66802 0.000100768 -0.00352531 -0.00029296 -0.460744 -0.000548623 1.57729 -0.00196722
16 -0.436332 -0.460445 0.0241122 1.68736 0.000102096 -0.00349858 -0.000292504 -0.460445 -0.000550234 1.5773 -0.00196753
16.001 -0.436332 -0.460148 0.023816 1.70679 0.000103415 -0.0034717 -0.000292024 -0.460148 -0.000551799 1.57731 -0.00196784
16.002 -0.436332 -0.459855 0.0235228 1.72631 0.000104723 -0.00344469 -0.000291523 -0.459855 -0.000553319 1.57732 -0.00196815
16.003 -0.436332 -0.459565 0.0232324 1.7459 0.000106022 -0.00341755 -0.000291001 -0.459565 -0.000554794 1.57733 -0.00196845
16.004 -0.436332 -0.459277 0.0229448 1.76556 0.000107311 -0.00339029 -0.000290457 -0.459277 -0.000556225 1.57734 -0.00196876
16.005 -0.436332 -0.458992 0.0226601 1.78527 0.000108589 -0.00336293 -0.000289893 -0.458992 -0.000557611 1.57734 -0.00196907
16.006 -0.436332 -0.458711 0.0223783 1.80503 0.000109857 -0.00333546 -0.000289308 -0.458711 -0.000558952 1.57735 -0.00196938
16.007 -0.436332 -0.458432 0.0220993 1.82483 0.000111114 -0.00330791 -0.000288704 -0.458432 -0.00056025 1.57736 -0.00196968
16.008 -0.436332 -0.458155 0.0218231 1.84466 0.00011236 -0.00328028 -0.00028808 -0.458155 -0.000561504 1.57736 -0.00196999
16.009 -0.436332 -0.457882 0.0215497 1.86451 0.000113594 -0.00325257 -0.000287437 -0.457882 -0.000562715 1.57737 -0.0019703
16.01 -0.436332 -0.457611 0.0212791 1.88437 0.000114817 -0.0032248 -0.000286776 -0.457611 -0.000563883 1.57737 -0.0019706
16.011 -0.436332 -0.457344 0.0210112 1.90423 0.000116029 -0.00319697 -0.000286097 -0.457344 -0.000565008 1.57737 -0.00197091
16.012 -0.436332 -0.457078 0.0207461 1.9241 0.000117229 -0.00316909 -0.0002854 -0.457078 -0.00056609 1.57738 -0.00197122
16.013 -0.436332 -0.456816 0.0204837 1.94395 0.000118416 -0.00314117 -0.000284685 -0.456816 -0.00056713 1.57738 -0.00197152
16.014 -0.436332 -0.456556 0.0202241 1.96379 0.000119592 -0.00311322 -0.000283954 -0.456556 -0.000568128 1.57738 -0.00197183
16.015 -0.436332 -0.456299 0.0199671 1.98361 0.000120755 -0.00308524 -0.000283206 -0.456299 -0.000569084 1.57739 -0.00197213
16.016 -0.436332 -0.456045 0.0197128 2.0034 0.000121906 -0.00305724 -0.000282442 -0.456045 -0.000569999 1.57739 -0.00197244
16.017 -0.436332 -0.455794 0.0194612 2.02315 0.000123045 -0.00302924 -0.000281663 -0.455794 -0.000570872 1.57739 -0.00197274
16.018 -0.436332 -0.455545 0.0192123 2.04287 0.00012417 -0.00300122 -0.000280868 -0.455545 -0.000571705 1.57739 -0.00197305
16.019 -0.436332 -0.455298 0.0189659 2.06254 0.000125283 -0.00297321 -0.000280058 -0.455298 -0.000572498 1.57739 -0.00197335
16.02 -0.436332 -0.455055 0.0187222 2.08216 0.000126383 -0.00294521 -0.000279233 -0.455055 -0.00057325 1.57739 -0.00197365
16.021 -0.436332 -0.454813 0.0184811 2.10172 0.000127469 -0.00291722 -0.000278395 -0.454813 -0.000573962 1.57739 -0.00197395
16.022 -0.436332 -0.454575 0.0182425 2.12122 0.000128542 -0.00288926 -0.000277542 -0.454575 -0.000574635 1.57739 -0.00197425
16.023 -0.436332 -0.454339 0.0180066 2.14066 0.000129602 -0.00286132 -0.000276676 -0.454339 -0.000575268 1.57739 -0.00197456
16.024 -0.436332 -0.454105 0.0177731 2.16003 0.000130649 -0.00283342 -0.000275797 -0.454105 -0.000575862 1.57738 -0.00197486
16.025 -0.436332 -0.453875 0.0175422 2.17932 0.000131682 -0.00280555 -0.000274905 -0.453875 -0.000576418 1.57738 -0.00197515
16.026 -0.436332 -0.453646 0.0173138 2.19854 0.000132701 -0.00277773 -0.000274001 -0.453646 -0.000576936 1.57738 -0.00197545
16.027 -0.436332 -0.45342 0.0170879 2.21767 0.000133706 -0.00274996 -0.000273085 -0.45342 -0.000577415 1.57737 -0.00197575
16.028 -0.436332 -0.453197 0.0168645 2.23672 0.000134698 -0.00272225 -0.000272157 -0.453197 -0.000577857 1.57737 -0.00197605
16.029 -0.436332 -0.452976 0.0166435 2.25568 0.000135675 -0.0026946 -0.000271217 -0.452976 -0.000578262 1.57737 -0.00197634
